E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-1.152	0.100	-6.196	0.100	-6.139
0.099	-2.535	0.099	-6.331	0.099	-6.316
0.098	-3.537	0.098	-6.398	0.098	-6.397
0.097	-4.291	0.097	-6.550	0.097	-6.532
0.096	-4.872	0.096	-6.687	0.096	-6.641
0.095	-5.352	0.095	-6.845	0.095	-6.803
0.094	-5.693	0.094	-6.992	0.094	-6.958
0.093	-5.989	0.093	-7.159	0.093	-7.127
0.092	-6.245	0.092	-7.372	0.092	-7.302
0.091	-6.518	0.091	-7.555	0.091	-7.524
0.090	-6.745	0.090	-7.714	0.090	-7.697
0.089	-6.931	0.089	-7.974	0.089	-7.886
0.088	-7.185	0.088	-8.182	0.088	-8.107
0.087	-7.426	0.087	-8.388	0.087	-8.363
0.086	-7.642	0.086	-8.584	0.086	-8.558
0.085	-7.894	0.085	-8.851	0.085	-8.834
0.084	-8.128	0.084	-9.099	0.084	-9.090
0.083	-8.440	0.083	-9.438	0.083	-9.429
0.082	-8.656	0.082	-9.628	0.082	-9.589
0.081	-8.866	0.081	-9.826	0.081	-9.857
0.080	-9.098	0.080	-10.058	0.080	-10.059
0.079	-9.343	0.079	-10.259	0.079	-10.279
0.078	-9.469	0.078	-10.401	0.078	-10.452
0.077	-9.616	0.077	-10.530	0.077	-10.558
0.076	-9.736	0.076	-10.612	0.076	-10.659
0.075	-9.863	0.075	-10.681	0.075	-10.730
0.074	-9.860	0.074	-10.670	0.074	-10.685
0.073	-9.848	0.073	-10.615	0.073	-10.653
0.072	-9.822	0.072	-10.575	0.072	-10.579
0.071	-9.857	0.071	-10.533	0.071	-10.558
0.070	-9.759	0.070	-10.381	0.070	-10.406
0.069	-9.730	0.069	-10.296	0.069	-10.283
0.068	-9.633	0.068	-10.193	0.068	-10.191
0.067	-9.714	0.067	-10.210	0.067	-10.225
0.066	-9.527	0.066	-10.012	0.066	-9.949
0.065	-9.424	0.065	-9.803	0.065	-9.783
0.064	-9.286	0.064	-9.670	0.064	-9.659
0.063	-9.204	0.063	-9.585	0.063	-9.526
0.062	-9.105	0.062	-9.424	0.062	-9.352
0.061	-8.997	0.061	-9.286	0.061	-9.202
0.060	-8.880	0.060	-9.133	0.060	-9.072
0.059	-8.808	0.059	-9.069	0.059	-8.972
0.058	-8.691	0.058	-8.872	0.058	-8.789
0.057	-8.582	0.057	-8.734	0.057	-8.642
0.056	-8.507	0.056	-8.644	0.056	-8.524
0.055	-8.362	0.055	-8.466	0.055	-8.371
0.054	-8.299	0.054	-8.362	0.054	-8.270
0.053	-8.193	0.053	-8.233	0.053	-8.136
0.052	-8.099	0.052	-8.144	0.052	-8.029
0.051	-8.052	0.051	-8.064	0.051	-7.961
0.050	-7.954	0.050	-7.908	0.050	-7.809
0.049	-7.828	0.049	-7.817	0.049	-7.694
0.048	-7.747	0.048	-7.704	0.048	-7.579
0.047	-7.662	0.047	-7.581	0.047	-7.490
0.046	-7.613	0.046	-7.512	0.046	-7.359
0.045	-7.535	0.045	-7.406	0.045	-7.254
0.044	-7.434	0.044	-7.337	0.044	-7.222
0.043	-7.415	0.043	-7.268	0.043	-7.148
0.042	-7.322	0.042	-7.161	0.042	-7.055
0.041	-7.248	0.041	-7.069	0.041	-6.944
0.040	-7.202	0.040	-7.003	0.040	-6.891
0.039	-7.142	0.039	-6.969	0.039	-6.859
0.038	-7.058	0.038	-6.892	0.038	-6.747
0.037	-7.033	0.037	-6.831	0.037	-6.710
0.036	-7.024	0.036	-6.777	0.036	-6.658
0.035	-7.004	0.035	-6.782	0.035	-6.661
0.034	-6.879	0.034	-6.682	0.034	-6.546
0.033	-6.862	0.033	-6.619	0.033	-6.494
0.032	-6.823	0.032	-6.587	0.032	-6.481
0.031	-6.793	0.031	-6.552	0.031	-6.452
0.030	-6.773	0.030	-6.515	0.030	-6.398
0.029	-6.742	0.029	-6.495	0.029	-6.382
0.028	-6.699	0.028	-6.477	0.028	-6.351
0.027	-6.742	0.027	-6.486	0.027	-6.359
0.026	-6.681	0.026	-6.392	0.026	-6.317
0.025	-6.647	0.025	-6.408	0.025	-6.293
0.024	-6.659	0.024	-6.380	0.024	-6.294
0.023	-6.659	0.023	-6.405	0.023	-6.290
0.022	-6.622	0.022	-6.372	0.022	-6.268
0.021	-6.593	0.021	-6.334	0.021	-6.311
0.020	-6.592	0.020	-6.356	0.020	-6.310
0.019	-6.681	0.019	-6.385	0.019	-6.326
0.018	-6.625	0.018	-6.356	0.018	-6.290
0.017	-6.616	0.017	-6.371	0.017	-6.247
0.016	-6.624	0.016	-6.368	0.016	-6.280
0.015	-6.648	0.015	-6.386	0.015	-6.299
0.014	-6.652	0.014	-6.394	0.014	-6.306
0.013	-6.671	0.013	-6.411	0.013	-6.334
0.012	-6.713	0.012	-6.441	0.012	-6.360
0.011	-6.728	0.011	-6.458	0.011	-6.411
0.010	-6.737	0.010	-6.484	0.010	-6.397
0.009	-6.751	0.009	-6.506	0.009	-6.405
0.008	-6.785	0.008	-6.543	0.008	-6.451
0.007	-6.834	0.007	-6.596	0.007	-6.498
0.006	-6.871	0.006	-6.630	0.006	-6.533
0.005	-6.898	0.005	-6.661	0.005	-6.530
0.004	-6.972	0.004	-6.744	0.004	-6.605
0.003	-7.122	0.003	-6.842	0.003	-6.753
0.002	-7.093	0.002	-6.817	0.002	-6.705
0.001	-7.151	0.001	-6.849	0.001	-6.694
