E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.635	0.100	-4.290	0.100	-4.323	0.100	-4.633	0.100	-4.621	0.100	-4.569
0.099	-1.652	0.099	-4.365	0.099	-4.422	0.099	-4.690	0.099	-4.708	0.099	-4.627
0.098	-2.386	0.098	-4.449	0.098	-4.457	0.098	-4.777	0.098	-4.759	0.098	-4.704
0.097	-2.849	0.097	-4.521	0.097	-4.529	0.097	-4.865	0.097	-4.839	0.097	-4.753
0.096	-3.221	0.096	-4.616	0.096	-4.649	0.096	-4.960	0.096	-4.918	0.096	-4.860
0.095	-3.507	0.095	-4.695	0.095	-4.681	0.095	-5.029	0.095	-5.017	0.095	-4.971
0.094	-3.764	0.094	-4.783	0.094	-4.810	0.094	-5.130	0.094	-5.135	0.094	-5.083
0.093	-3.912	0.093	-4.872	0.093	-4.926	0.093	-5.213	0.093	-5.253	0.093	-5.148
0.092	-4.040	0.092	-4.984	0.092	-5.037	0.092	-5.340	0.092	-5.349	0.092	-5.271
0.091	-4.231	0.091	-5.142	0.091	-5.147	0.091	-5.452	0.091	-5.523	0.091	-5.414
0.090	-4.366	0.090	-5.279	0.090	-5.306	0.090	-5.656	0.090	-5.659	0.090	-5.549
0.089	-4.518	0.089	-5.388	0.089	-5.464	0.089	-5.776	0.089	-5.760	0.089	-5.676
0.088	-4.642	0.088	-5.556	0.088	-5.615	0.088	-5.915	0.088	-5.937	0.088	-5.852
0.087	-4.822	0.087	-5.731	0.087	-5.793	0.087	-6.113	0.087	-6.133	0.087	-6.066
0.086	-4.958	0.086	-5.923	0.086	-5.955	0.086	-6.303	0.086	-6.306	0.086	-6.207
0.085	-5.133	0.085	-6.084	0.085	-6.145	0.085	-6.471	0.085	-6.497	0.085	-6.400
0.084	-5.302	0.084	-6.306	0.084	-6.368	0.084	-6.699	0.084	-6.717	0.084	-6.650
0.083	-5.546	0.083	-6.564	0.083	-6.648	0.083	-6.955	0.083	-6.989	0.083	-6.905
0.082	-5.737	0.082	-6.762	0.082	-6.848	0.082	-7.170	0.082	-7.208	0.082	-7.104
0.081	-5.877	0.081	-6.978	0.081	-7.082	0.081	-7.392	0.081	-7.382	0.081	-7.282
0.080	-6.099	0.080	-7.165	0.080	-7.277	0.080	-7.576	0.080	-7.566	0.080	-7.544
0.079	-6.288	0.079	-7.378	0.079	-7.470	0.079	-7.788	0.079	-7.811	0.079	-7.740
0.078	-6.440	0.078	-7.498	0.078	-7.578	0.078	-7.949	0.078	-8.013	0.078	-7.857
