E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	2.069	0.100	-0.216	0.100	-0.224
0.099	0.753	0.099	-0.219	0.099	-0.227
0.098	0.272	0.098	-0.219	0.098	-0.227
0.097	0.065	0.097	-0.218	0.097	-0.228
0.096	-0.021	0.096	-0.219	0.096	-0.230
0.095	-0.072	0.095	-0.219	0.095	-0.228
0.094	-0.101	0.094	-0.221	0.094	-0.230
0.093	-0.120	0.093	-0.222	0.093	-0.230
0.092	-0.135	0.092	-0.228	0.092	-0.230
0.091	-0.150	0.091	-0.225	0.091	-0.233
0.090	-0.166	0.090	-0.227	0.090	-0.231
0.089	-0.175	0.089	-0.228	0.089	-0.233
0.088	-0.184	0.088	-0.224	0.088	-0.228
0.087	-0.190	0.087	-0.235	0.087	-0.227
0.086	-0.201	0.086	-0.233	0.086	-0.233
0.085	-0.205	0.085	-0.236	0.085	-0.238
0.084	-0.210	0.084	-0.233	0.084	-0.230
0.083	-0.222	0.083	-0.244	0.083	-0.233
0.082	-0.225	0.082	-0.241	0.082	-0.228
0.081	-0.231	0.081	-0.238	0.081	-0.235
0.080	-0.236	0.080	-0.241	0.080	-0.238
0.079	-0.241	0.079	-0.241	0.079	-0.235
0.078	-0.247	0.078	-0.248	0.078	-0.227
0.077	-0.245	0.077	-0.245	0.077	-0.238
0.076	-0.259	0.076	-0.244	0.076	-0.239
0.075	-0.258	0.075	-0.248	0.075	-0.233
0.074	-0.270	0.074	-0.250	0.074	-0.241
0.073	-0.268	0.073	-0.254	0.073	-0.242
0.072	-0.274	0.072	-0.256	0.072	-0.241
0.071	-0.279	0.071	-0.254	0.071	-0.244
0.070	-0.281	0.070	-0.259	0.070	-0.239
0.069	-0.288	0.069	-0.259	0.069	-0.244
0.068	-0.285	0.068	-0.258	0.068	-0.247
0.067	-0.296	0.067	-0.268	0.067	-0.247
0.066	-0.299	0.066	-0.271	0.066	-0.245
0.065	-0.299	0.065	-0.270	0.065	-0.247
0.064	-0.307	0.064	-0.279	0.064	-0.245
0.063	-0.308	0.063	-0.267	0.063	-0.248
0.062	-0.308	0.062	-0.268	0.062	-0.245
0.061	-0.311	0.061	-0.276	0.061	-0.247
0.060	-0.084	0.060	-0.147	0.060	-0.185
0.061	0.146	0.061	-0.006	0.061	-0.118
0.062	0.239	0.062	0.040	0.062	-0.097
0.063	0.275	0.063	0.065	0.063	-0.084
0.064	0.285	0.064	0.075	0.064	-0.081
0.065	0.296	0.065	0.084	0.065	-0.075
0.066	0.290	0.066	0.081	0.066	-0.077
0.067	0.298	0.067	0.086	0.067	-0.077
0.068	0.295	0.068	0.092	0.068	-0.074
0.069	0.287	0.069	0.088	0.069	-0.072
0.070	0.295	0.070	0.091	0.070	-0.070
0.071	0.291	0.071	0.095	0.071	-0.069
0.072	0.295	0.072	0.084	0.072	-0.069
0.073	0.287	0.073	0.094	0.073	-0.067
0.074	0.290	0.074	0.089	0.074	-0.067
0.075	0.293	0.075	0.092	0.075	-0.066
0.076	0.285	0.076	0.092	0.076	-0.064
0.077	0.279	0.077	0.098	0.077	-0.067
0.078	0.281	0.078	0.089	0.078	-0.066
0.079	0.282	0.079	0.084	0.079	-0.067
0.080	0.278	0.080	0.089	0.080	-0.066
0.081	0.273	0.081	0.086	0.081	-0.069
0.082	0.272	0.082	0.086	0.082	-0.063
0.083	0.268	0.083	0.088	0.083	-0.063
0.084	0.270	0.084	0.086	0.084	-0.064
0.085	0.268	0.085	0.084	0.085	-0.060
0.086	0.264	0.086	0.074	0.086	-0.063
0.087	0.262	0.087	0.078	0.087	-0.067
0.088	0.258	0.088	0.083	0.088	-0.067
0.089	0.249	0.089	0.077	0.089	-0.063
0.090	0.249	0.090	0.071	0.090	-0.060
0.091	0.250	0.091	0.075	0.091	-0.064
0.092	0.250	0.092	0.077	0.092	-0.058
0.093	0.247	0.093	0.075	0.093	-0.061
0.094	0.241	0.094	0.071	0.094	-0.057
0.095	0.238	0.095	0.065	0.095	-0.061
0.096	0.247	0.096	0.065	0.096	-0.060
0.097	0.235	0.097	0.069	0.097	-0.061
0.098	0.230	0.098	0.069	0.098	-0.057
0.099	0.238	0.099	0.065	0.099	-0.058
0.100	0.227	0.100	0.063	0.100	-0.057
0.101	0.227	0.101	0.063	0.101	-0.057
0.102	0.222	0.102	0.061	0.102	-0.055
0.103	0.221	0.103	0.069	0.103	-0.052
0.104	0.218	0.104	0.060	0.104	-0.052
0.105	0.224	0.105	0.058	0.105	-0.047
0.106	0.215	0.106	0.054	0.106	-0.054
0.107	0.215	0.107	0.061	0.107	-0.052
0.108	0.213	0.108	0.049	0.108	-0.051
0.109	0.203	0.109	0.052	0.109	-0.047
0.110	0.204	0.110	0.054	0.110	-0.052
0.111	0.213	0.111	0.049	0.111	-0.051
0.112	0.206	0.112	0.048	0.112	-0.051
0.113	0.213	0.113	0.048	0.113	-0.052
0.114	0.206	0.114	0.051	0.114	-0.047
0.115	0.201	0.115	0.048	0.115	-0.051
0.116	0.196	0.116	0.043	0.116	-0.046
0.117	0.193	0.117	0.048	0.117	-0.049
0.118	0.195	0.118	0.040	0.118	-0.044
0.119	0.193	0.119	0.040	0.119	-0.046
0.120	0.186	0.120	0.042	0.120	-0.046
0.121	0.186	0.121	0.037	0.121	-0.046
0.122	0.187	0.122	0.040	0.122	-0.046
0.123	0.178	0.123	0.043	0.123	-0.038
0.124	0.180	0.124	0.034	0.124	-0.040
0.125	0.184	0.125	0.035	0.125	-0.043
0.126	0.173	0.126	0.025	0.126	-0.043
0.127	0.176	0.127	0.035	0.127	-0.044
0.128	0.167	0.128	0.035	0.128	-0.041
0.129	0.175	0.129	0.035	0.129	-0.043
0.130	0.170	0.130	0.025	0.130	-0.043
