E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-1.004	0.100	-0.452	0.100	-0.471
0.099	-1.129	0.099	-0.468	0.099	-0.465
0.098	-1.192	0.098	-0.468	0.098	-0.472
0.097	-1.225	0.097	-0.458	0.097	-0.471
0.096	-1.228	0.096	-0.463	0.096	-0.466
0.095	-1.215	0.095	-0.463	0.095	-0.460
0.094	-1.182	0.094	-0.452	0.094	-0.466
0.093	-1.170	0.093	-0.457	0.093	-0.452
0.092	-1.139	0.092	-0.463	0.092	-0.465
0.091	-1.126	0.091	-0.454	0.091	-0.443
0.090	-1.095	0.090	-0.452	0.090	-0.465
0.089	-1.055	0.089	-0.460	0.089	-0.455
0.088	-1.031	0.088	-0.457	0.088	-0.451
0.087	-1.008	0.087	-0.455	0.087	-0.466
0.086	-1.006	0.086	-0.465	0.086	-0.454
0.085	-0.981	0.085	-0.442	0.085	-0.462
0.084	-0.957	0.084	-0.451	0.084	-0.458
0.083	-0.955	0.083	-0.452	0.083	-0.454
0.082	-0.931	0.082	-0.454	0.082	-0.465
0.081	-0.909	0.081	-0.457	0.081	-0.451
0.080	-0.882	0.080	-0.454	0.080	-0.452
0.079	-0.865	0.079	-0.460	0.079	-0.451
0.078	-0.854	0.078	-0.452	0.078	-0.448
0.077	-0.854	0.077	-0.455	0.077	-0.452
0.076	-0.840	0.076	-0.451	0.076	-0.462
0.075	-0.819	0.075	-0.445	0.075	-0.446
0.074	-0.820	0.074	-0.443	0.074	-0.460
0.073	-0.799	0.073	-0.446	0.073	-0.448
0.072	-0.791	0.072	-0.446	0.072	-0.445
0.071	-0.771	0.071	-0.449	0.071	-0.443
0.070	-0.771	0.070	-0.455	0.070	-0.446
0.069	-0.762	0.069	-0.452	0.069	-0.435
0.068	-0.753	0.068	-0.443	0.068	-0.448
0.067	-0.750	0.067	-0.449	0.067	-0.440
0.066	-0.738	0.066	-0.451	0.066	-0.445
0.065	-0.735	0.065	-0.445	0.065	-0.442
0.064	-0.741	0.064	-0.454	0.064	-0.448
0.063	-0.716	0.063	-0.443	0.063	-0.434
0.062	-0.718	0.062	-0.451	0.062	-0.446
0.061	-0.710	0.061	-0.435	0.061	-0.440
0.060	-0.639	0.060	-0.399	0.060	-0.399
0.061	-0.567	0.061	-0.331	0.061	-0.340
0.062	-0.512	0.062	-0.304	0.062	-0.310
0.063	-0.474	0.063	-0.274	0.063	-0.281
0.064	-0.435	0.064	-0.253	0.064	-0.254
0.065	-0.419	0.065	-0.236	0.065	-0.247
0.066	-0.417	0.066	-0.222	0.066	-0.241
0.067	-0.386	0.067	-0.202	0.067	-0.228
0.068	-0.383	0.068	-0.199	0.068	-0.210
0.069	-0.376	0.069	-0.201	0.069	-0.210
0.070	-0.368	0.070	-0.192	0.070	-0.205
0.071	-0.354	0.071	-0.199	0.071	-0.207
0.072	-0.363	0.072	-0.193	0.072	-0.208
0.073	-0.334	0.073	-0.189	0.073	-0.198
0.074	-0.336	0.074	-0.182	0.074	-0.193
0.075	-0.324	0.075	-0.187	0.075	-0.193
0.076	-0.322	0.076	-0.179	0.076	-0.187
0.077	-0.317	0.077	-0.176	0.077	-0.190
0.078	-0.313	0.078	-0.182	0.078	-0.175
0.079	-0.307	0.079	-0.175	0.079	-0.189
0.080	-0.299	0.080	-0.179	0.080	-0.189
0.081	-0.288	0.081	-0.173	0.081	-0.185
0.082	-0.293	0.082	-0.176	0.082	-0.198
0.083	-0.288	0.083	-0.175	0.083	-0.176
0.084	-0.284	0.084	-0.170	0.084	-0.190
0.085	-0.276	0.085	-0.164	0.085	-0.181
0.086	-0.273	0.086	-0.164	0.086	-0.179
0.087	-0.273	0.087	-0.173	0.087	-0.175
0.088	-0.264	0.088	-0.170	0.088	-0.173
0.089	-0.261	0.089	-0.164	0.089	-0.178
0.090	-0.270	0.090	-0.164	0.090	-0.172
0.091	-0.261	0.091	-0.156	0.091	-0.167
0.092	-0.248	0.092	-0.153	0.092	-0.169
0.093	-0.247	0.093	-0.158	0.093	-0.167
0.094	-0.227	0.094	-0.147	0.094	-0.170
0.095	-0.242	0.095	-0.169	0.095	-0.170
0.096	-0.236	0.096	-0.155	0.096	-0.166
0.097	-0.219	0.097	-0.162	0.097	-0.162
0.098	-0.216	0.098	-0.164	0.098	-0.153
0.099	-0.218	0.099	-0.164	0.099	-0.162
0.100	-0.205	0.100	-0.156	0.100	-0.161
0.101	-0.215	0.101	-0.149	0.101	-0.161
0.102	-0.199	0.102	-0.144	0.102	-0.152
0.103	-0.190	0.103	-0.144	0.103	-0.161
0.104	-0.181	0.104	-0.161	0.104	-0.159
0.105	-0.189	0.105	-0.139	0.105	-0.169
0.106	-0.189	0.106	-0.141	0.106	-0.146
0.107	-0.182	0.107	-0.136	0.107	-0.149
0.108	-0.185	0.108	-0.146	0.108	-0.150
0.109	-0.175	0.109	-0.129	0.109	-0.153
0.110	-0.173	0.110	-0.143	0.110	-0.156
0.111	-0.173	0.111	-0.127	0.111	-0.143
0.112	-0.159	0.112	-0.130	0.112	-0.155
0.113	-0.162	0.113	-0.147	0.113	-0.144
0.114	-0.152	0.114	-0.123	0.114	-0.143
0.115	-0.147	0.115	-0.130	0.115	-0.149
0.116	-0.139	0.116	-0.121	0.116	-0.141
0.117	-0.135	0.117	-0.135	0.117	-0.133
0.118	-0.121	0.118	-0.123	0.118	-0.136
0.119	-0.126	0.119	-0.116	0.119	-0.126
0.120	-0.118	0.120	-0.130	0.120	-0.139
0.121	-0.109	0.121	-0.115	0.121	-0.130
0.122	-0.127	0.122	-0.121	0.122	-0.133
0.123	-0.110	0.123	-0.116	0.123	-0.124
0.124	-0.107	0.124	-0.121	0.124	-0.130
0.125	-0.118	0.125	-0.112	0.125	-0.116
0.126	-0.090	0.126	-0.107	0.126	-0.121
0.127	-0.090	0.127	-0.112	0.127	-0.116
0.128	-0.087	0.128	-0.103	0.128	-0.120
0.129	-0.080	0.129	-0.109	0.129	-0.120
0.130	-0.081	0.130	-0.098	0.130	-0.103
0.131	-0.078	0.131	-0.089	0.131	-0.113
0.132	-0.080	0.132	-0.100	0.132	-0.109
0.133	-0.060	0.133	-0.083	0.133	-0.107
0.134	-0.052	0.134	-0.090	0.134	-0.110
0.135	-0.064	0.135	-0.092	0.135	-0.092
0.136	-0.058	0.136	-0.089	0.136	-0.103
0.137	-0.054	0.137	-0.081	0.137	-0.104
0.138	-0.047	0.138	-0.074	0.138	-0.095
0.139	-0.037	0.139	-0.077	0.139	-0.097
0.140	-0.032	0.140	-0.083	0.140	-0.087
0.141	-0.031	0.141	-0.081	0.141	-0.083
0.142	-0.029	0.142	-0.080	0.142	-0.080
0.143	-0.021	0.143	-0.069	0.143	-0.080
