E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.261	0.100	-0.639	0.100	-0.445
0.099	-0.518	0.099	-0.606	0.099	-0.457
0.098	-0.600	0.098	-0.646	0.098	-0.463
0.097	-0.765	0.097	-0.630	0.097	-0.455
0.096	-0.830	0.096	-0.662	0.096	-0.455
0.095	-0.860	0.095	-0.630	0.095	-0.485
0.094	-0.893	0.094	-0.652	0.094	-0.480
0.093	-0.932	0.093	-0.681	0.093	-0.511
0.092	-0.946	0.092	-0.678	0.092	-0.497
0.091	-0.935	0.091	-0.687	0.091	-0.485
0.090	-0.954	0.090	-0.664	0.090	-0.488
0.089	-0.966	0.089	-0.673	0.089	-0.488
0.088	-1.029	0.088	-0.679	0.088	-0.503
0.087	-0.954	0.087	-0.695	0.087	-0.501
0.086	-0.992	0.086	-0.679	0.086	-0.492
0.085	-0.935	0.085	-0.689	0.085	-0.498
0.084	-1.040	0.084	-0.713	0.084	-0.524
0.083	-0.988	0.083	-0.687	0.083	-0.540
0.082	-1.006	0.082	-0.722	0.082	-0.526
0.081	-1.008	0.081	-0.718	0.081	-0.506
0.080	-0.997	0.080	-0.735	0.080	-0.511
0.079	-0.998	0.079	-0.715	0.079	-0.514
0.078	-0.991	0.078	-0.745	0.078	-0.531
0.077	-1.003	0.077	-0.751	0.077	-0.541
0.076	-1.023	0.076	-0.733	0.076	-0.531
0.075	-1.009	0.075	-0.773	0.075	-0.535
0.074	-1.020	0.074	-0.785	0.074	-0.534
0.073	-1.008	0.073	-0.764	0.073	-0.549
0.072	-1.055	0.072	-0.770	0.072	-0.574
0.071	-1.035	0.071	-0.787	0.071	-0.583
0.070	-1.057	0.070	-0.767	0.070	-0.584
0.069	-1.081	0.069	-0.819	0.069	-0.566
0.068	-1.027	0.068	-0.819	0.068	-0.572
0.067	-1.044	0.067	-0.816	0.067	-0.606
0.066	-1.078	0.066	-0.799	0.066	-0.587
0.065	-1.070	0.065	-0.823	0.065	-0.626
0.064	-1.069	0.064	-0.848	0.064	-0.607
0.063	-1.090	0.063	-0.833	0.063	-0.598
0.062	-1.037	0.062	-0.819	0.062	-0.606
0.061	-1.083	0.061	-0.851	0.061	-0.644
0.060	-1.064	0.060	-0.845	0.060	-0.607
0.059	-1.041	0.059	-0.848	0.059	-0.621
0.058	-1.120	0.058	-0.870	0.058	-0.653
0.057	-1.093	0.057	-0.873	0.057	-0.633
0.056	-1.093	0.056	-0.865	0.056	-0.643
0.055	-1.110	0.055	-0.882	0.055	-0.661
0.054	-1.100	0.054	-0.903	0.054	-0.639
0.053	-1.124	0.053	-0.857	0.053	-0.661
0.052	-1.072	0.052	-0.905	0.052	-0.675
0.051	-1.083	0.051	-0.914	0.051	-0.681
0.050	-1.072	0.050	-0.905	0.050	-0.690
0.049	-1.073	0.049	-0.885	0.049	-0.699
0.048	-1.144	0.048	-0.949	0.048	-0.708
0.047	-1.121	0.047	-0.932	0.047	-0.728
0.046	-1.127	0.046	-0.934	0.046	-0.742
0.045	-1.139	0.045	-0.931	0.045	-0.733
0.044	-1.135	0.044	-0.948	0.044	-0.727
0.043	-1.152	0.043	-0.931	0.043	-0.728
0.042	-1.133	0.042	-0.945	0.042	-0.741
0.041	-1.136	0.041	-0.949	0.041	-0.753
0.040	-1.141	0.040	-0.943	0.040	-0.748
0.039	-1.123	0.039	-0.972	0.039	-0.770
0.038	-1.141	0.038	-0.985	0.038	-0.764
0.037	-1.141	0.037	-1.018	0.037	-0.765
0.036	-1.185	0.036	-0.971	0.036	-0.794
0.035	-1.198	0.035	-1.004	0.035	-0.784
0.034	-1.185	0.034	-1.011	0.034	-0.785
0.033	-1.218	0.033	-1.006	0.033	-0.804
0.032	-1.218	0.032	-1.020	0.032	-0.800
0.031	-1.204	0.031	-1.006	0.031	-0.810
0.030	-1.196	0.030	-1.029	0.030	-0.805
0.029	-1.208	0.029	-1.024	0.029	-0.825
0.028	-1.199	0.028	-1.020	0.028	-0.804
0.027	-1.187	0.027	-1.037	0.027	-0.843
0.026	-1.212	0.026	-1.027	0.026	-0.825
0.025	-1.224	0.025	-1.066	0.025	-0.840
0.024	-1.256	0.024	-1.057	0.024	-0.870
0.023	-1.248	0.023	-1.109	0.023	-0.870
0.022	-1.227	0.022	-1.040	0.022	-0.868
0.021	-1.231	0.021	-1.055	0.021	-0.871
0.020	-1.253	0.020	-1.109	0.020	-0.889
0.019	-1.285	0.019	-1.060	0.019	-0.886
0.018	-1.227	0.018	-1.092	0.018	-0.899
0.017	-1.282	0.017	-1.115	0.017	-0.919
0.016	-1.291	0.016	-1.109	0.016	-0.943
0.015	-1.277	0.015	-1.118	0.015	-0.934
0.014	-1.308	0.014	-1.116	0.014	-0.935
0.013	-1.333	0.013	-1.127	0.013	-0.985
0.012	-1.327	0.012	-1.135	0.012	-0.994
0.011	-1.323	0.011	-1.132	0.011	-0.994
0.010	-1.374	0.010	-1.166	0.010	-0.995
0.009	-1.330	0.009	-1.173	0.009	-1.014
0.008	-1.386	0.008	-1.179	0.008	-1.038
0.007	-1.342	0.007	-1.184	0.007	-1.058
0.006	-1.414	0.006	-1.221	0.006	-1.072
0.005	-1.400	0.005	-1.221	0.005	-1.077
0.004	-1.448	0.004	-1.274	0.004	-1.118
0.003	-1.419	0.003	-1.267	0.003	-1.123
0.002	-1.468	0.002	-1.294	0.002	-1.173
0.001	-1.481	0.001	-1.319	0.001	-1.161
0.000	-1.501	0.000	-1.333	0.000	-1.219
-0.001	-1.538	-0.001	-1.369	-0.001	-1.258
-0.002	-1.520	-0.002	-1.385	-0.002	-1.271
-0.003	-1.603	-0.003	-1.423	-0.003	-1.317
-0.004	-1.624	-0.004	-1.475	-0.004	-1.353
-0.005	-1.661	-0.005	-1.492	-0.005	-1.388
-0.006	-1.727	-0.006	-1.534	-0.006	-1.429
-0.007	-1.758	-0.007	-1.592	-0.007	-1.472
-0.008	-1.788	-0.008	-1.583	-0.008	-1.518
-0.009	-1.805	-0.009	-1.675	-0.009	-1.577
-0.010	-1.879	-0.010	-1.715	-0.010	-1.632
-0.011	-1.908	-0.011	-1.787	-0.011	-1.664
-0.012	-1.949	-0.012	-1.836	-0.012	-1.738
-0.013	-2.029	-0.013	-1.903	-0.013	-1.779
-0.014	-2.095	-0.014	-1.975	-0.014	-1.876
-0.015	-2.172	-0.015	-1.998	-0.015	-1.929
-0.016	-2.211	-0.016	-2.119	-0.016	-2.041
-0.017	-2.308	-0.017	-2.187	-0.017	-2.116
-0.018	-2.373	-0.018	-2.256	-0.018	-2.215
-0.019	-2.454	-0.019	-2.383	-0.019	-2.290
-0.020	-2.557	-0.020	-2.422	-0.020	-2.379
-0.021	-2.633	-0.021	-2.550	-0.021	-2.494
-0.022	-2.728	-0.022	-2.642	-0.022	-2.612
-0.023	-2.851	-0.023	-2.796	-0.023	-2.734
-0.024	-2.974	-0.024	-2.922	-0.024	-2.873
-0.025	-3.090	-0.025	-3.057	-0.025	-2.997
-0.026	-3.227	-0.026	-3.170	-0.026	-3.132
-0.027	-3.320	-0.027	-3.313	-0.027	-3.273
-0.028	-3.465	-0.028	-3.498	-0.028	-3.452
-0.029	-3.622	-0.029	-3.655	-0.029	-3.626
-0.030	-3.807	-0.030	-3.834	-0.030	-3.785
-0.031	-3.949	-0.031	-4.001	-0.031	-3.961
-0.032	-4.122	-0.032	-4.195	-0.032	-4.159
-0.033	-4.299	-0.033	-4.412	-0.033	-4.368
-0.034	-4.515	-0.034	-4.629	-0.034	-4.547
-0.035	-4.704	-0.035	-4.856	-0.035	-4.797
-0.036	-4.951	-0.036	-5.090	-0.036	-5.004
-0.037	-5.159	-0.037	-5.334	-0.037	-5.251
-0.038	-5.411	-0.038	-5.596	-0.038	-5.500
-0.039	-5.673	-0.039	-5.900	-0.039	-5.770
-0.040	-5.352	-0.040	-5.593	-0.040	-5.569
-0.039	-4.879	-0.039	-5.050	-0.039	-5.078
-0.038	-4.371	-0.038	-4.507	-0.038	-4.604
-0.037	-3.879	-0.037	-3.958	-0.037	-4.044
-0.036	-3.474	-0.036	-3.423	-0.036	-3.526
-0.035	-2.992	-0.035	-2.946	-0.035	-3.040
-0.034	-2.610	-0.034	-2.514	-0.034	-2.586
-0.033	-2.239	-0.033	-2.066	-0.033	-2.173
-0.032	-1.871	-0.032	-1.682	-0.032	-1.782
-0.031	-1.550	-0.031	-1.328	-0.031	-1.420
-0.030	-1.267	-0.030	-1.032	-0.030	-1.132
-0.029	-0.957	-0.029	-0.735	-0.029	-0.816
