E /V	I /uA	E /V	I /uA
0.100	-0.590	0.100	-1.926
0.099	-1.050	0.099	-1.915
0.098	-1.380	0.098	-1.900
0.097	-1.586	0.097	-1.917
0.096	-1.715	0.096	-1.942
0.095	-1.820	0.095	-1.940
0.094	-1.879	0.094	-1.992
0.093	-1.879	0.093	-1.994
0.092	-1.958	0.092	-2.009
0.091	-1.957	0.091	-2.001
0.090	-2.020	0.090	-2.007
0.089	-2.000	0.089	-2.032
0.088	-2.034	0.088	-2.049
0.087	-2.049	0.087	-2.061
0.086	-2.112	0.086	-2.063
0.085	-2.092	0.085	-2.119
0.084	-2.090	0.084	-2.083
0.083	-2.113	0.083	-2.040
0.082	-2.126	0.082	-2.107
0.081	-2.158		
0.080	-2.146		
0.079	-2.155		
0.078	-2.192		
0.077	-2.202		
0.076	-2.231		
0.075	-2.215		
0.074	-2.282		
0.073	-2.288		
0.072	-2.307		
0.071	-2.304		
0.070	-2.339		
0.069	-2.311		
0.068	-2.302		
0.067	-2.339		
0.066	-2.409		
0.065	-2.383		
0.064	-2.405		
0.063	-2.385		
0.062	-2.348		
0.061	-2.365		
0.060	-2.385		
0.059	-2.429		
0.058	-2.406		
0.057	-2.423		
0.056	-2.435		
0.055	-2.408		
0.054	-2.480		
0.053	-2.437		
0.052	-2.452		
0.051	-2.460		
0.050	-2.452		
0.049	-2.392		
0.048	-2.449		
0.047	-2.431		
0.046	-2.442		
0.045	-2.412		
0.044	-2.446		
0.043	-2.377		
0.042	-2.382		
0.041	-2.365		
0.040	-2.339		
0.039	-2.373		
0.038	-2.334		
0.037	-2.281		
0.036	-2.290		
0.035	-2.261		
0.034	-2.238		
0.033	-2.288		
0.032	-2.242		
0.031	-2.221		
0.030	-2.211		
0.029	-2.207		
0.028	-2.218		
0.027	-2.207		
0.026	-2.185		
0.025	-2.161		
0.024	-2.150		
0.023	-2.188		
0.022	-2.149		
0.021	-2.138		
0.020	-2.156		
0.019	-2.103		
0.018	-2.164		
0.017	-2.084		
0.016	-2.118		
0.015	-2.139		
0.014	-2.136		
0.013	-2.129		
0.012	-2.147		
0.011	-2.101		
0.010	-2.113		
0.009	-2.123		
0.008	-2.150		
0.007	-2.152		
0.006	-2.162		
0.005	-2.170		
0.004	-2.181		
0.003	-2.136		
0.002	-2.187		
0.001	-2.178		
0.000	-2.224		
-0.001	-2.222		
-0.002	-2.198		
-0.003	-2.271		
-0.004	-2.299		
-0.005	-2.319		
-0.006	-2.369		
-0.007	-2.417		
-0.008	-2.449		
-0.009	-2.521		
-0.010	-2.549		
-0.011	-2.555		
-0.012	-2.621		
-0.013	-2.649		
-0.014	-2.718		
-0.015	-2.819		
-0.016	-2.831		
-0.017	-2.915		
-0.018	-3.041		
-0.019	-3.075		
-0.020	-3.239		
-0.021	-3.330		
-0.022	-3.484		
-0.023	-3.564		
-0.024	-3.748		
-0.025	-3.859		
-0.026	-4.024		
-0.027	-4.218		
-0.028	-4.431		
