E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.230	0.100	-0.716	0.100	-0.662	0.100	-0.676	0.100	-0.600	0.100	-0.669	0.100	-0.561	0.100	-0.598	0.100	-0.618
0.100	-0.379	0.100	-0.701	0.100	-0.672	0.100	-0.635	0.100	-0.670	0.100	-0.575	0.100	-0.621	0.100	-0.569	0.100	-0.500
0.099	-0.475	0.099	-0.785	0.099	-0.692	0.099	-0.635	0.099	-0.613	0.099	-0.620	0.099	-0.616	0.099	-0.570	0.099	-0.540
0.099	-0.538	0.099	-0.759	0.099	-0.738	0.099	-0.630	0.099	-0.624	0.099	-0.673	0.099	-0.624	0.099	-0.537	0.099	-0.523
0.098	-0.689	0.098	-0.690	0.098	-0.739	0.098	-0.659	0.098	-0.721	0.098	-0.615	0.098	-0.595	0.098	-0.587	0.098	-0.486
0.098	-0.727	0.098	-0.744	0.098	-0.719	0.098	-0.704	0.098	-0.681	0.098	-0.662	0.098	-0.540	0.098	-0.547	0.098	-0.544
0.097	-0.696	0.097	-0.689	0.097	-0.744	0.097	-0.753	0.097	-0.699	0.097	-0.687	0.097	-0.511	0.097	-0.630	0.097	-0.569
0.097	-0.758	0.097	-0.825	0.097	-0.678	0.097	-0.764	0.097	-0.616	0.097	-0.695	0.097	-0.616	0.097	-0.560	0.097	-0.546
0.096	-0.782	0.096	-0.733	0.096	-0.713	0.096	-0.702	0.096	-0.673	0.096	-0.713	0.096	-0.627	0.096	-0.616	0.096	-0.563
0.096	-0.710	0.096	-0.750	0.096	-0.647	0.096	-0.678	0.096	-0.704	0.096	-0.633	0.096	-0.531	0.096	-0.618	0.096	-0.534
0.095	-0.804	0.095	-0.822	0.095	-0.670	0.095	-0.658	0.095	-0.742	0.095	-0.589	0.095	-0.552	0.095	-0.616	0.095	-0.527
0.095	-0.833	0.095	-0.770	0.095	-0.751	0.095	-0.679	0.095	-0.738	0.095	-0.662	0.095	-0.639	0.095	-0.526	0.095	-0.592
0.094	-0.684	0.094	-0.744	0.094	-0.724	0.094	-0.739	0.094	-0.623	0.094	-0.623	0.094	-0.687	0.094	-0.601	0.094	-0.610
