E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	6.843	0.100	-0.731	0.100	-0.727
0.100	3.750	0.100	-0.739	0.100	-0.725
0.099	1.989	0.099	-0.774	0.099	-0.667
0.099	0.883	0.099	-0.779	0.099	-0.685
0.098	0.253	0.098	-0.747	0.098	-0.791
0.098	-0.152	0.098	-0.722	0.098	-0.768
0.097	-0.347	0.097	-0.759	0.097	-0.718
0.097	-0.471	0.097	-0.672	0.097	-0.733
0.096	-0.570	0.096	-0.689	0.096	-0.761
0.096	-0.643	0.096	-0.721	0.096	-0.764
0.095	-0.672	0.095	-0.693	0.095	-0.758
0.095	-0.710	0.095	-0.791	0.095	-0.784
0.094	-0.689	0.094	-0.741	0.094	-0.774
0.093	-0.735	0.093	-0.685	0.093	-0.776
0.093	-0.727	0.093	-0.753	0.093	-0.742
0.092	-0.750	0.092	-0.750	0.092	-0.753
0.092	-0.739	0.092	-0.805	0.092	-0.762
0.091	-0.696	0.091	-0.742	0.091	-0.797
0.091	-0.738	0.091	-0.725	0.091	-0.781
0.090	-0.745	0.090	-0.758	0.090	-0.739
0.090	-0.724	0.090	-0.742	0.090	-0.736
0.089	-0.753	0.089	-0.702	0.089	-0.744
0.089	-0.796	0.089	-0.773	0.089	-0.745
0.088	-0.764	0.088	-0.725	0.088	-0.777
0.088	-0.713	0.088	-0.727	0.088	-0.730
0.087	-0.695	0.087	-0.753	0.087	-0.745
0.087	-0.762	0.087	-0.814	0.087	-0.735
0.086	-0.716	0.086	-0.831	0.086	-0.739
0.086	-0.721	0.086	-0.765	0.086	-0.745
0.086	-0.693	0.086	-0.811	0.086	-0.745
0.085	-0.839	0.085	-0.814	0.085	-0.771
0.085	-0.787	0.085	-0.773	0.085	-0.750
0.084	-0.765	0.084	-0.840	0.084	-0.790
0.084	-0.762	0.084	-0.805	0.084	-0.799
0.083	-0.817	0.083	-0.739	0.083	-0.804
0.083	-0.814	0.083	-0.813	0.083	-0.836
0.082	-0.744	0.082	-0.762	0.082	-0.758
0.082	-0.708	0.082	-0.758	0.082	-0.738
0.081	-0.742	0.081	-0.856	0.081	-0.715
0.081	-0.770	0.081	-0.793	0.081	-0.776
0.080	-0.828	0.080	-0.848	0.080	-0.767
0.080	-0.813	0.080	-0.816	0.080	-0.776
0.079	-0.807	0.079	-0.810	0.079	-0.823
0.079	-0.785	0.079	-0.779	0.079	-0.863
0.078	-0.747	0.078	-0.805	0.078	-0.831
0.077	-0.751	0.077	-0.817	0.077	-0.828
0.077	-0.822	0.077	-0.773	0.077	-0.808
0.076	-0.816	0.076	-0.738	0.076	-0.836
0.076	-0.843	0.076	-0.785	0.076	-0.830
0.075	-0.816	0.075	-0.822	0.075	-0.805
0.075	-0.830	0.075	-0.788	0.075	-0.823
0.074	-0.804	0.074	-0.825	0.074	-0.776
0.074	-0.808	0.074	-0.831	0.074	-0.785
0.073	-0.857	0.073	-0.793	0.073	-0.819
0.073	-0.871	0.073	-0.761	0.073	-0.759
0.072	-0.823	0.072	-0.840	0.072	-0.804
0.072	-0.842	0.072	-0.848	0.072	-0.773
0.071	-0.790	0.071	-0.843	0.071	-0.750
0.071	-0.810	0.071	-0.839	0.071	-0.782
0.070	-0.805	0.070	-0.877	0.070	-0.839
0.070	-0.791	0.070	-0.860	0.070	-0.833
0.070	-0.831	0.070	-0.839	0.070	-0.842
0.069	-0.848	0.069	-0.808	0.069	-0.833
0.069	-0.825	0.069	-0.785	0.069	-0.853
0.068	-0.845	0.068	-0.791	0.068	-0.804
