E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.201	0.100	-1.750	0.100	-1.696
0.099	-0.581	0.099	-1.776	0.099	-1.721
0.098	-0.866	0.098	-1.761	0.098	-1.712
0.097	-1.093	0.097	-1.764	0.097	-1.722
0.096	-1.261	0.096	-1.771	0.096	-1.733
0.095	-1.389	0.095	-1.793	0.095	-1.731
0.094	-1.460	0.094	-1.794	0.094	-1.750
0.093	-1.532	0.093	-1.799	0.093	-1.765
0.092	-1.580	0.092	-1.808	0.092	-1.764
0.091	-1.619	0.091	-1.836	0.091	-1.781
0.090	-1.639	0.090	-1.833	0.090	-1.782
0.089	-1.659	0.089	-1.845	0.089	-1.788
0.088	-1.675	0.088	-1.845	0.088	-1.797
0.087	-1.704	0.087	-1.863	0.087	-1.813
0.086	-1.710	0.086	-1.869	0.086	-1.820
0.085	-1.724	0.085	-1.880	0.085	-1.825
0.084	-1.736	0.084	-1.883	0.084	-1.839
0.083	-1.770	0.083	-1.923	0.083	-1.873
0.082	-1.767	0.082	-1.915	0.082	-1.862
0.081	-1.779	0.081	-1.917	0.081	-1.874
0.080	-1.791	0.080	-1.926	0.080	-1.876
0.079	-1.802	0.079	-1.940	0.079	-1.889
0.078	-1.808	0.078	-1.945	0.078	-1.897
0.077	-1.828	0.077	-1.957	0.077	-1.905
0.076	-1.834	0.076	-1.965	0.076	-1.920
0.075	-1.860	0.075	-1.978	0.075	-1.934
0.074	-1.857	0.074	-1.992	0.074	-1.934
0.073	-1.869	0.073	-1.995	0.073	-1.943
0.072	-1.882	0.072	-2.001	0.072	-1.955
0.071	-1.902	0.071	-2.014	0.071	-1.966
0.070	-1.912	0.070	-2.023	0.070	-1.971
0.069	-1.923	0.069	-2.035	0.069	-1.989
0.068	-1.929	0.068	-2.043	0.068	-1.998
0.067	-1.978	0.067	-2.084	0.067	-2.038
0.066	-1.972	0.066	-2.083	0.066	-2.018
0.065	-1.983	0.065	-2.080	0.065	-2.026
0.064	-1.981	0.064	-2.089	0.064	-2.034
0.063	-2.006	0.063	-2.101	0.063	-2.050
0.062	-2.011	0.062	-2.101	0.062	-2.049
0.061	-2.026	0.061	-2.106	0.061	-2.064
0.060	-2.038	0.060	-2.132	0.060	-2.067
0.059	-2.069	0.059	-2.156	0.059	-2.093
0.058	-2.066	0.058	-2.149	0.058	-2.089
0.057	-2.075	0.057	-2.162	0.057	-2.100
0.056	-2.090	0.056	-2.164	0.056	-2.109
0.055	-2.098	0.055	-2.181	0.055	-2.126
0.054	-2.123	0.054	-2.176	0.054	-2.130
0.053	-2.141	0.053	-2.202	0.053	-2.136
0.052	-2.138	0.052	-2.208	0.052	-2.149
0.051	-2.178	0.051	-2.234	0.051	-2.178
0.050	-2.175	0.050	-2.230	0.050	-2.170
0.049	-2.192	0.049	-2.238	0.049	-2.181
0.048	-2.198	0.048	-2.236	0.048	-2.176
0.047	-2.218	0.047	-2.254	0.047	-2.193
0.046	-2.222	0.046	-2.262	0.046	-2.196
0.045	-2.236	0.045	-2.271	0.045	-2.192
0.044	-2.254	0.044	-2.268	0.044	-2.213
0.043	-2.287	0.043	-2.307	0.043	-2.241
0.042	-2.277	0.042	-2.304	0.042	-2.236
0.041	-2.296	0.041	-2.311	0.041	-2.250
0.040	-2.302	0.040	-2.319	0.040	-2.248
0.039	-2.331	0.039	-2.334	0.039	-2.271
0.038	-2.327	0.038	-2.342	0.038	-2.267
0.037	-2.343	0.037	-2.343	0.037	-2.276
0.036	-2.362	0.036	-2.350	0.036	-2.287
0.035	-2.396	0.035	-2.391	0.035	-2.325
0.034	-2.377	0.034	-2.374	0.034	-2.308
0.033	-2.402	0.033	-2.382	0.033	-2.299
0.032	-2.411	0.032	-2.394	0.032	-2.313
0.031	-2.428	0.031	-2.403	0.031	-2.330
0.030	-2.431	0.030	-2.414	0.030	-2.328
0.029	-2.449	0.029	-2.420	0.029	-2.346
0.028	-2.468	0.028	-2.432	0.028	-2.357
0.027	-2.491	0.027	-2.457	0.027	-2.373
0.026	-2.491	0.026	-2.449	0.026	-2.369
0.025	-2.504	0.025	-2.455	0.025	-2.383
0.024	-2.523	0.024	-2.468	0.024	-2.386
0.023	-2.541	0.023	-2.489	0.023	-2.411
0.022	-2.541	0.022	-2.494	0.022	-2.399
0.021	-2.563	0.021	-2.500	0.021	-2.420
0.020	-2.569	0.020	-2.507	0.020	-2.420
0.019	-2.615	0.019	-2.540	0.019	-2.457
0.018	-2.609	0.018	-2.535	0.018	-2.452
0.017	-2.619	0.017	-2.537	0.017	-2.448
0.016	-2.636	0.016	-2.544	0.016	-2.458
0.015	-2.652	0.015	-2.569	0.015	-2.471
0.014	-2.664	0.014	-2.569	0.014	-2.480
0.013	-2.673	0.013	-2.581	0.013	-2.486
0.012	-2.687	0.012	-2.592	0.012	-2.501
0.011	-2.722	0.011	-2.619	0.011	-2.526
0.010	-2.719	0.010	-2.615	0.010	-2.521
0.009	-2.739	0.009	-2.629	0.009	-2.534
0.008	-2.757	0.008	-2.635	0.008	-2.529
0.007	-2.782	0.007	-2.664	0.007	-2.555
0.006	-2.780	0.006	-2.658	0.006	-2.558
0.005	-2.799	0.005	-2.673	0.005	-2.573
0.004	-2.822	0.004	-2.693	0.004	-2.589
0.003	-2.892	0.003	-2.761	0.003	-2.652
0.002	-2.863	0.002	-2.728	0.002	-2.626
0.001	-2.874	0.001	-2.736	0.001	-2.616
0.000	-2.892	0.000	-2.742	0.000	-2.627
-0.001	-2.915	-0.001	-2.762	-0.001	-2.661
-0.002	-2.929	-0.002	-2.774	-0.002	-2.662
-0.003	-2.952	-0.003	-2.803	-0.003	-2.676
-0.004	-2.968	-0.004	-2.814	-0.004	-2.711
-0.005	-3.012	-0.005	-2.846	-0.005	-2.718
-0.006	-3.021	-0.006	-2.853	-0.006	-2.728
-0.007	-3.049	-0.007	-2.877	-0.007	-2.754
-0.008	-3.070	-0.008	-2.899	-0.008	-2.773
-0.009	-3.112	-0.009	-2.926	-0.009	-2.802
-0.010	-2.721	-0.010	-2.532	-0.010	-2.402
-0.009	-1.761	-0.009	-1.589	-0.009	-1.466
-0.008	-0.908	-0.008	-0.733	-0.008	-0.633
-0.007	-0.215	-0.007	-0.066	-0.007	0.023
-0.006	0.284	-0.006	0.417	-0.006	0.506
-0.005	0.690	-0.005	0.801	-0.005	0.870
-0.004	0.949	-0.004	1.057	-0.004	1.109
-0.003	1.163	-0.003	1.247	-0.003	1.298
-0.002	1.305	-0.002	1.388	-0.002	1.431
-0.001	1.443	-0.001	1.512	-0.001	1.545
0.000	1.529	0.000	1.586	0.000	1.612
0.001	1.615	0.001	1.661	0.001	1.683
0.002	1.670	0.002	1.709	0.002	1.727
0.003	1.768	0.003	1.811	0.003	1.821
0.004	1.773	0.004	1.799	0.004	1.813
0.005	1.801	0.005	1.842	0.005	1.845
0.006	1.827	0.006	1.845	0.006	1.857
0.007	1.868	0.007	1.885	0.007	1.885
0.008	1.888	0.008	1.900	0.008	1.910
0.009	1.922	0.009	1.926	0.009	1.931
0.010	1.925	0.010	1.939	0.010	1.936
0.011	1.980	0.011	1.980	0.011	1.979
0.012	1.985	0.012	1.975	0.012	1.982
0.013	2.008	0.013	2.005	0.013	1.995
0.014	2.009	0.014	2.002	0.014	1.995
0.015	2.032	0.015	2.026	0.015	2.020
0.016	2.035	0.016	2.034	0.016	2.020
0.017	2.046	0.017	2.048	0.017	2.031
0.018	2.058	0.018	2.045	0.018	2.037
0.019	2.101	0.019	2.086	0.019	2.072
0.020	2.080	0.020	2.077	0.020	2.061
0.021	2.089	0.021	2.080	0.021	2.058
0.022	2.089	0.022	2.064	0.022	2.061
0.023	2.110	0.023	2.094	0.023	2.072
0.024	2.101	0.024	2.094	0.024	2.066
0.025	2.120	0.025	2.089	0.025	2.068
0.026	2.103	0.026	2.084	0.026	2.071
0.027	2.132	0.027	2.115	0.027	2.086
0.028	2.121	0.028	2.098	0.028	2.083
0.029	2.127	0.029	2.103	0.029	2.087
0.030	2.118	0.030	2.094	0.030	2.080
0.031	2.135	0.031	2.107	0.031	2.097
0.032	2.120	0.032	2.098	0.032	2.086
0.033	2.118	0.033	2.104	0.033	2.084
0.034	2.109	0.034	2.095	0.034	2.071
0.035	2.138	0.035	2.126	0.035	2.109
0.036	2.121	0.036	2.095	0.036	2.075
0.037	2.123	0.037	2.104	0.037	2.071
0.038	2.110	0.038	2.086	0.038	2.068
0.039	2.115	0.039	2.097	0.039	2.068
0.040	2.104	0.040	2.086	0.040	2.054
0.041	2.107	0.041	2.089	0.041	2.068
0.042	2.101	0.042	2.086	0.042	2.054
0.043	2.104	0.043	2.106	0.043	2.071
0.044	2.103	0.044	2.077	0.044	2.052
0.045	2.098	0.045	2.077	0.045	2.054
0.046	2.086	0.046	2.061	0.046	2.043
0.047	2.094	0.047	2.074	0.047	2.046
0.048	2.078	0.048	2.057	0.048	2.031
0.049	2.081	0.049	2.057	0.049	2.034
0.050	2.061	0.050	2.043	0.050	2.017
0.051	2.087	0.051	2.072	0.051	2.049
0.052	2.061	0.052	2.041	0.052	2.015
0.053	2.058	0.053	2.045	0.053	2.012
0.054	2.040	0.054	2.015	0.054	2.000
0.055	2.048	0.055	2.032	0.055	2.011
0.056	2.037	0.056	2.009	0.056	1.986
0.057	2.031	0.057	2.003	0.057	1.989
0.058	2.009	0.058	1.988	0.058	1.969
0.059	2.025	0.059	2.005	0.059	1.982
0.060	2.005	0.060	1.991	0.060	1.965
0.061	1.994	0.061	1.974	0.061	1.957
0.062	1.980	0.062	1.969	0.062	1.939
0.063	1.989	0.063	1.971	0.063	1.949
0.064	1.971	0.064	1.957	0.064	1.929
0.065	1.969	0.065	1.959	0.065	1.920
0.066	1.960	0.066	1.943	0.066	1.906
0.067	1.991	0.067	1.974	0.067	1.951
0.068	1.960	0.068	1.940	0.068	1.922
0.069	1.948	0.069	1.926	0.069	1.900
0.070	1.934	0.070	1.905	0.070	1.885
0.071	1.933	0.071	1.908	0.071	1.883
0.072	1.916	0.072	1.890	0.072	1.873
0.073	1.911	0.073	1.890	0.073	1.870
0.074	1.899	0.074	1.874	0.074	1.856
0.075	1.919	0.075	1.882	0.075	1.859
0.076	1.874	0.076	1.865	0.076	1.836
0.077	1.877	0.077	1.853	0.077	1.830
0.078	1.857	0.078	1.839	0.078	1.813
0.079	1.865	0.079	1.841	0.079	1.821
0.080	1.850	0.080	1.825	0.080	1.791
0.081	1.845	0.081	1.816	0.081	1.798
0.082	1.828	0.082	1.810	0.082	1.779
0.083	1.850	0.083	1.830	0.083	1.796
0.084	1.822	0.084	1.795	0.084	1.776
0.085	1.816	0.085	1.787	0.085	1.772
0.086	1.788	0.086	1.778	0.086	1.739
0.087	1.804	0.087	1.776	0.087	1.750
0.088	1.778	0.088	1.758	0.088	1.730
0.089	1.776	0.089	1.747	0.089	1.725
0.090	1.759	0.090	1.739	0.090	1.710
0.091	1.770	0.091	1.745	0.091	1.724
0.092	1.752	0.092	1.732	0.092	1.699
0.093	1.750	0.093	1.721	0.093	1.690
0.094	1.732	0.094	1.707	0.094	1.673
0.095	1.732	0.095	1.704	0.095	1.678
0.096	1.712	0.096	1.686	0.096	1.660
0.097	1.710	0.097	1.687	0.097	1.655
0.098	1.695	0.098	1.666	0.098	1.646
0.099	1.713	0.099	1.684	0.099	1.649
0.100	1.681	0.100	1.658	0.100	1.623
0.101	1.670	0.101	1.655	0.101	1.623
0.102	1.666	0.102	1.638	0.102	1.601
0.103	1.663	0.103	1.635	0.103	1.609
0.104	1.653	0.104	1.620	0.104	1.600
0.105	1.640	0.105	1.627	0.105	1.586
0.106	1.630	0.106	1.600	0.106	1.568
0.107	1.640	0.107	1.607	0.107	1.580
