E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.245	0.100	-1.589	0.100	-1.566	0.100	-1.546	0.100	-1.531
0.099	-0.590	0.099	-1.619	0.099	-1.598	0.099	-1.572	0.099	-1.552
0.098	-0.857	0.098	-1.604	0.098	-1.587	0.098	-1.564	0.098	-1.540
0.097	-1.073	0.097	-1.615	0.097	-1.600	0.097	-1.569	0.097	-1.549
0.096	-1.224	0.096	-1.624	0.096	-1.601	0.096	-1.578	0.096	-1.567
0.095	-1.339	0.095	-1.641	0.095	-1.604	0.095	-1.593	0.095	-1.580
0.094	-1.409	0.094	-1.642	0.094	-1.623	0.094	-1.589	0.094	-1.572
0.093	-1.472	0.093	-1.656	0.093	-1.638	0.093	-1.610	0.093	-1.587
0.092	-1.506	0.092	-1.665	0.092	-1.636	0.092	-1.616	0.092	-1.595
0.091	-1.555	0.091	-1.687	0.091	-1.650	0.091	-1.632	0.091	-1.616
0.090	-1.563	0.090	-1.681	0.090	-1.661	0.090	-1.636	0.090	-1.621
0.089	-1.581	0.089	-1.687	0.089	-1.669	0.089	-1.647	0.089	-1.624
0.088	-1.603	0.088	-1.696	0.088	-1.673	0.088	-1.655	0.088	-1.633
0.087	-1.632	0.087	-1.712	0.087	-1.698	0.087	-1.673	0.087	-1.650
0.086	-1.626	0.086	-1.716	0.086	-1.695	0.086	-1.673	0.086	-1.652
0.085	-1.647	0.085	-1.727	0.085	-1.715	0.085	-1.684	0.085	-1.652
0.084	-1.662	0.084	-1.744	0.084	-1.718	0.084	-1.690	0.084	-1.676
0.083	-1.696	0.083	-1.776	0.083	-1.745	0.083	-1.716	0.083	-1.702
0.082	-1.688	0.082	-1.768	0.082	-1.747	0.082	-1.718	0.082	-1.698
0.081	-1.698	0.081	-1.768	0.081	-1.747	0.081	-1.730	0.081	-1.693
0.080	-1.704	0.080	-1.781	0.080	-1.753	0.080	-1.727	0.080	-1.708
0.079	-1.722	0.079	-1.796	0.079	-1.770	0.079	-1.754	0.079	-1.728
0.078	-1.730	0.078	-1.797	0.078	-1.771	0.078	-1.750	0.078	-1.721
0.077	-1.745	0.077	-1.810	0.077	-1.787	0.077	-1.762	0.077	-1.748
0.076	-1.751	0.076	-1.819	0.076	-1.794	0.076	-1.771	0.076	-1.744
0.075	-1.774	0.075	-1.830	0.075	-1.813	0.075	-1.791	0.075	-1.774
0.074	-1.776	0.074	-1.850	0.074	-1.811	0.074	-1.787	0.074	-1.762
0.073	-1.781	0.073	-1.845	0.073	-1.823	0.073	-1.802	0.073	-1.776
0.072	-1.800	0.072	-1.854	0.072	-1.834	0.072	-1.808	0.072	-1.785
0.071	-1.810	0.071	-1.874	0.071	-1.850	0.071	-1.823	0.071	-1.800
0.070	-1.819	0.070	-1.882	0.070	-1.843	0.070	-1.819	0.070	-1.804
0.069	-1.831	0.069	-1.894	0.069	-1.856	0.069	-1.837	0.069	-1.814
0.068	-1.836	0.068	-1.894	0.068	-1.865	0.068	-1.850	0.068	-1.827
0.067	-1.885	0.067	-1.940	0.067	-1.914	0.067	-1.880	0.067	-1.865
0.066	-1.873	0.066	-1.917	0.066	-1.889	0.066	-1.871	0.066	-1.850
0.065	-1.882	0.065	-1.928	0.065	-1.899	0.065	-1.857	0.065	-1.857
0.064	-1.880	0.064	-1.937	0.064	-1.911	0.064	-1.885	0.064	-1.856
0.063	-1.902	0.063	-1.948	0.063	-1.922	0.063	-1.896	0.063	-1.868
0.062	-1.908	0.062	-1.946	0.062	-1.925	0.062	-1.899	0.062	-1.873
0.061	-1.919	0.061	-1.960	0.061	-1.934	0.061	-1.909	0.061	-1.886
0.060	-1.919	0.060	-1.968	0.060	-1.940	0.060	-1.909	0.060	-1.892
0.059	-1.951	0.059	-1.991	0.059	-1.966	0.059	-1.928	0.059	-1.912
0.058	-1.945	0.058	-1.989	0.058	-1.954	0.058	-1.934	0.058	-1.909
0.057	-1.952	0.057	-1.995	0.057	-1.966	0.057	-1.943	0.057	-1.922
0.056	-1.957	0.056	-1.997	0.056	-1.972	0.056	-1.955	0.056	-1.925
0.055	-1.971	0.055	-2.014	0.055	-1.983	0.055	-1.961	0.055	-1.935
0.054	-1.986	0.054	-2.024	0.054	-1.988	0.054	-1.966	0.054	-1.935
0.053	-1.997	0.053	-2.032	0.053	-2.001	0.053	-1.971	0.053	-1.945
0.052	-2.006	0.052	-2.035	0.052	-2.011	0.052	-1.983	0.052	-1.955
0.051	-2.032	0.051	-2.064	0.051	-2.044	0.051	-2.006	0.051	-1.983
0.050	-2.031	0.050	-2.061	0.050	-2.029	0.050	-2.003	0.050	-1.978
0.049	-2.037	0.049	-2.067	0.049	-2.035	0.049	-2.007	0.049	-1.980
0.048	-2.046	0.048	-2.070	0.048	-2.040	0.048	-2.007	0.048	-1.988
0.047	-2.057	0.047	-2.080	0.047	-2.060	0.047	-2.027	0.047	-2.011
0.046	-2.061	0.046	-2.089	0.046	-2.058	0.046	-2.026	0.046	-2.001
0.045	-2.075	0.045	-2.098	0.045	-2.049	0.045	-2.034	0.045	-2.012
0.044	-2.073	0.044	-2.110	0.044	-2.075	0.044	-2.040	0.044	-2.015
0.043	-2.107	0.043	-2.130	0.043	-2.096	0.043	-2.069	0.043	-2.031
0.042	-2.109	0.042	-2.123	0.042	-2.087	0.042	-2.061	0.042	-2.035
0.041	-2.115	0.041	-2.129	0.041	-2.101	0.041	-2.069	0.041	-2.041
0.040	-2.119	0.040	-2.135	0.040	-2.103	0.040	-2.072	0.040	-2.038
