E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.127	0.100	-0.916	0.100	-0.912	0.100	-0.902	0.100	-0.891	0.100	-0.877
0.099	-0.354	0.099	-0.929	0.099	-0.923	0.099	-0.916	0.099	-0.906	0.099	-0.893
0.098	-0.520	0.098	-0.925	0.098	-0.926	0.098	-0.917	0.098	-0.905	0.098	-0.893
0.097	-0.639	0.097	-0.932	0.097	-0.931	0.097	-0.919	0.097	-0.912	0.097	-0.897
0.096	-0.724	0.096	-0.943	0.096	-0.945	0.096	-0.928	0.096	-0.923	0.096	-0.909
0.095	-0.784	0.095	-0.955	0.095	-0.949	0.095	-0.955	0.095	-0.934	0.095	-0.920
0.094	-0.823	0.094	-0.966	0.094	-0.966	0.094	-0.948	0.094	-0.939	0.094	-0.923
0.093	-0.848	0.093	-0.975	0.093	-0.975	0.093	-0.960	0.093	-0.948	0.093	-0.935
0.092	-0.879	0.092	-0.985	0.092	-0.977	0.092	-0.966	0.092	-0.960	0.092	-0.948
0.091	-0.905	0.091	-0.988	0.091	-0.995	0.091	-0.983	0.091	-0.974	0.091	-0.960
0.090	-0.919	0.090	-1.000	0.090	-0.991	0.090	-0.981	0.090	-0.974	0.090	-0.966
0.089	-0.934	0.089	-1.006	0.089	-0.994	0.089	-0.997	0.089	-0.981	0.089	-0.966
0.088	-0.943	0.088	-1.015	0.088	-1.020	0.088	-0.995	0.088	-0.991	0.088	-0.978
0.087	-0.957	0.087	-1.020	0.087	-1.023	0.087	-1.009	0.087	-0.992	0.087	-0.983
0.086	-0.966	0.086	-1.027	0.086	-1.024	0.086	-1.020	0.086	-1.003	0.086	-0.992
0.085	-0.971	0.085	-1.044	0.085	-1.034	0.085	-1.024	0.085	-1.009	0.085	-1.001
0.084	-0.983	0.084	-1.054	0.084	-1.047	0.084	-1.032	0.084	-1.026	0.084	-1.004
0.083	-1.003	0.083	-1.078	0.083	-1.072	0.083	-1.054	0.083	-1.041	0.083	-1.031
0.082	-1.006	0.082	-1.066	0.082	-1.050	0.082	-1.047	0.082	-1.037	0.082	-1.029
0.081	-1.014	0.081	-1.078	0.081	-1.060	0.081	-1.060	0.081	-1.044	0.081	-1.034
0.080	-1.020	0.080	-1.083	0.080	-1.081	0.080	-1.067	0.080	-1.047	0.080	-1.034
0.079	-1.035	0.079	-1.089	0.079	-1.095	0.079	-1.072	0.079	-1.064		
0.078	-1.038	0.078	-1.100	0.078	-1.092	0.078	-1.069	0.078	-1.058		
0.077	-1.049	0.077	-1.103	0.077	-1.092	0.077	-1.083	0.077	-1.066		
0.076	-1.060	0.076	-1.112	0.076	-1.110	0.076	-1.093	0.076	-1.081		
0.075	-1.069	0.075	-1.116	0.075	-1.126	0.075	-1.109	0.075	-1.095		
0.074	-1.070	0.074	-1.132	0.074	-1.118	0.074	-1.116	0.074	-1.090		
0.073	-1.064	0.073	-1.133	0.073	-1.121	0.073	-1.110	0.073	-1.103		
0.072	-1.086	0.072	-1.139	0.072	-1.129	0.072	-1.124	0.072	-1.115		
0.071	-1.098	0.071	-1.156	0.071	-1.136	0.071	-1.127	0.071	-1.129		
0.070	-1.103	0.070	-1.155	0.070	-1.143	0.070	-1.141	0.070	-1.121		
0.069	-1.106	0.069	-1.167	0.069	-1.153	0.069	-1.144	0.069	-1.129		
0.068	-1.116	0.068	-1.172	0.068	-1.155	0.068	-1.152	0.068	-1.135		
0.067	-1.147	0.067	-1.201	0.067	-1.192	0.067	-1.173	0.067	-1.166		
0.066	-1.138	0.066	-1.190	0.066	-1.175	0.066	-1.166	0.066	-1.156		
0.065	-1.144	0.065	-1.189	0.065	-1.182	0.065	-1.164	0.065	-1.155		
0.064	-1.144	0.064	-1.189	0.064	-1.185	0.064	-1.178	0.064	-1.161		
0.063	-1.156	0.063	-1.202	0.063	-1.196	0.063	-1.176	0.063	-1.166		
0.062	-1.156	0.062	-1.201	0.062	-1.195	0.062	-1.187	0.062	-1.170		
0.061	-1.167	0.061	-1.216	0.061	-1.199	0.061	-1.187	0.061	-1.176		
0.060	-1.173	0.060	-1.221	0.060	-1.213	0.060	-1.196	0.060	-1.187		
0.059	-1.192	0.059	-1.233	0.059	-1.222	0.059	-1.212	0.059	-1.198		
0.058	-1.184	0.058	-1.221	0.058	-1.216	0.058	-1.210	0.058	-1.195		
0.057	-1.192	0.057	-1.238	0.057	-1.227	0.057	-1.216	0.057	-1.198		
0.056	-1.198	0.056	-1.239	0.056	-1.231	0.056	-1.218	0.056	-1.207		
0.055	-1.196	0.055	-1.250	0.055	-1.238	0.055	-1.228	0.055	-1.218		
0.054	-1.213	0.054	-1.256	0.054	-1.244	0.054	-1.230	0.054	-1.212		
0.053	-1.213	0.053	-1.258	0.053	-1.250	0.053	-1.236	0.053	-1.215		
0.052	-1.216	0.052	-1.262	0.052	-1.254	0.052	-1.239	0.052	-1.231		
0.051	-1.241	0.051	-1.277	0.051	-1.273	0.051	-1.261	0.051	-1.242		
0.050	-1.239	0.050	-1.277	0.050	-1.268	0.050	-1.259	0.050	-1.236		
0.049	-1.244	0.049	-1.277	0.049	-1.264	0.049	-1.256	0.049	-1.242		
0.048	-1.244	0.048	-1.288	0.048	-1.276	0.048	-1.254	0.048	-1.248		
0.047	-1.253	0.047	-1.291	0.047	-1.282	0.047	-1.265	0.047	-1.251		
0.046	-1.256	0.046	-1.294	0.046	-1.276	0.046	-1.267	0.046	-1.253		
0.045	-1.265	0.045	-1.297	0.045	-1.281	0.045	-1.277	0.045	-1.261		
0.044	-1.265	0.044	-1.311	0.044	-1.297	0.044	-1.281	0.044	-1.264		
0.043	-1.277	0.043	-1.317	0.043	-1.293	0.043	-1.290	0.043	-1.279		
0.042	-1.277	0.042	-1.302	0.042	-1.300	0.042	-1.285	0.042	-1.271		
0.041	-1.281	0.041	-1.319	0.041	-1.307	0.041	-1.291	0.041	-1.282		
0.040	-1.284	0.040	-1.323	0.040	-1.314	0.040	-1.296	0.040	-1.279		
0.039	-1.296	0.039	-1.330	0.039	-1.317	0.039	-1.299	0.039	-1.287		
0.038	-1.296	0.038	-1.330	0.038	-1.314	0.038	-1.296	0.038	-1.284		
0.037	-1.302	0.037	-1.325	0.037	-1.320	0.037	-1.307	0.037	-1.300		
0.036	-1.308	0.036	-1.334	0.036	-1.330	0.036	-1.305	0.036	-1.293		
0.035	-1.322	0.035	-1.353	0.035	-1.342	0.035	-1.328	0.035	-1.308		
0.034	-1.307	0.034	-1.342	0.034	-1.327	0.034	-1.313	0.034	-1.300		
0.033	-1.317	0.033	-1.343	0.033	-1.336	0.033	-1.322	0.033	-1.299		
0.032	-1.316	0.032	-1.350	0.032	-1.330	0.032	-1.320	0.032	-1.300		
0.031	-1.327	0.031	-1.354	0.031	-1.342	0.031	-1.327	0.031	-1.307		
0.030	-1.320	0.030	-1.356	0.030	-1.340	0.030	-1.328	0.030	-1.314		
0.029	-1.333	0.029	-1.359	0.029	-1.340	0.029	-1.333	0.029	-1.320		
0.028	-1.340	0.028	-1.368	0.028	-1.351	0.028	-1.334	0.028	-1.323		
0.027	-1.350	0.027	-1.371	0.027	-1.360	0.027	-1.345	0.027	-1.336		
0.026	-1.340	0.026	-1.371	0.026	-1.359	0.026	-1.340	0.026	-1.330		
0.025	-1.346	0.025	-1.368	0.025	-1.359	0.025	-1.343	0.025	-1.328		
0.024	-1.346	0.024	-1.379	0.024	-1.365	0.024	-1.353	0.024	-1.331		
0.023	-1.357	0.023	-1.386	0.023	-1.374	0.023	-1.353	0.023	-1.339		
0.022	-1.357	0.022	-1.383	0.022	-1.368	0.022	-1.356	0.022	-1.336		
0.021	-1.363	0.021	-1.383	0.021	-1.366	0.021	-1.357	0.021	-1.343		
0.020	-1.365	0.020	-1.388	0.020	-1.380	0.020	-1.357	0.020	-1.340		
0.019	-1.383	0.019	-1.408	0.019	-1.392	0.019	-1.382	0.019	-1.377		
0.018	-1.368	0.018	-1.397	0.018	-1.383	0.018	-1.363	0.018	-1.353		
0.017	-1.368	0.017	-1.394	0.017	-1.382	0.017	-1.362	0.017	-1.353		
0.016	-1.373	0.016	-1.391	0.016	-1.380	0.016	-1.368	0.016	-1.354		
0.015	-1.388	0.015	-1.402	0.015	-1.391	0.015	-1.366	0.015	-1.366		
0.014	-1.383	0.014	-1.405	0.014	-1.386	0.014	-1.371	0.014	-1.366		
0.013	-1.382	0.013	-1.411	0.013	-1.394	0.013	-1.382	0.013	-1.365		
0.012	-1.386	0.012	-1.414	0.012	-1.399	0.012	-1.382	0.012	-1.366		
0.011	-1.400	0.011	-1.426	0.011	-1.409	0.011	-1.389	0.011	-1.382		
0.010	-1.394	0.010	-1.417	0.010	-1.405	0.010	-1.388	0.010	-1.362		
0.009	-1.399	0.009	-1.420	0.009	-1.406	0.009	-1.388	0.009	-1.377		
0.008	-1.391	0.008	-1.420	0.008	-1.412	0.008	-1.391	0.008	-1.376		
0.007	-1.400	0.007	-1.431	0.007	-1.417	0.007	-1.400	0.007	-1.382		
0.006	-1.412	0.006	-1.423	0.006	-1.409	0.006	-1.396	0.006	-1.382		
0.005	-1.405	0.005	-1.426	0.005	-1.411	0.005	-1.399	0.005	-1.382		
0.004	-1.411	0.004	-1.429	0.004	-1.420	0.004	-1.400	0.004	-1.389		
0.003	-1.451	0.003	-1.466	0.003	-1.449	0.003	-1.440	0.003	-1.420		
0.002	-1.416	0.002	-1.432	0.002	-1.420	0.002	-1.403	0.002	-1.388		
0.001	-1.414	0.001	-1.434	0.001	-1.417	0.001	-1.402	0.001	-1.394		
0.000	-1.420	0.000	-1.437	0.000	-1.419	0.000	-1.406	0.000	-1.386		
-0.001	-1.425	-0.001	-1.445	-0.001	-1.428	-0.001	-1.417	-0.001	-1.397		
-0.002	-1.425	-0.002	-1.439	-0.002	-1.429	-0.002	-1.412	-0.002	-1.399		
-0.003	-1.434	-0.003	-1.446	-0.003	-1.434	-0.003	-1.412	-0.003	-1.394		
-0.004	-1.437	-0.004	-1.452	-0.004	-1.443	-0.004	-1.419	-0.004	-1.405		
-0.005	-1.443	-0.005	-1.466	-0.005	-1.443	-0.005	-1.434	-0.005	-1.419		
-0.006	-1.446	-0.006	-1.469	-0.006	-1.443	-0.006	-1.426	-0.006	-1.411		
-0.007	-1.443	-0.007	-1.469	-0.007	-1.446	-0.007	-1.432	-0.007	-1.416		
-0.008	-1.451	-0.008	-1.465	-0.008	-1.449	-0.008	-1.429	-0.008	-1.426		
-0.009	-1.457	-0.009	-1.478	-0.009	-1.455	-0.009	-1.448	-0.009	-1.428		
-0.010	-1.144	-0.010	-1.162	-0.010	-1.147	-0.010	-1.135	-0.010	-1.126		
-0.009	-0.504	-0.009	-0.523	-0.009	-0.515	-0.009	-0.506	-0.009	-0.498		
