E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.133	0.100	-1.144	0.100	-1.110
0.099	-0.396	0.099	-1.161	0.099	-1.126
0.098	-0.590	0.098	-1.159	0.098	-1.126
0.097	-0.748	0.097	-1.158	0.097	-1.135
0.096	-0.856	0.096	-1.176	0.096	-1.144
0.095	-0.939	0.095	-1.185	0.095	-1.146
0.094	-0.994	0.094	-1.192	0.094	-1.161
0.093	-1.037	0.093	-1.204	0.093	-1.172
0.092	-1.067	0.092	-1.204	0.092	-1.179
0.091	-1.101	0.091	-1.230	0.091	-1.198
0.090	-1.115	0.090	-1.230	0.090	-1.195
0.089	-1.136	0.089	-1.235	0.089	-1.208
0.088	-1.149	0.088	-1.242	0.088	-1.207
0.087	-1.169	0.087	-1.256	0.087	-1.238
0.086	-1.179	0.086	-1.265	0.086	-1.228
0.085	-1.187	0.085	-1.281	0.085	-1.248
0.084	-1.204	0.084	-1.282	0.084	-1.253
0.083	-1.231	0.083	-1.307	0.083	-1.273
0.082	-1.222	0.082	-1.300	0.082	-1.273
0.081	-1.230	0.081	-1.308	0.081	-1.282
0.080	-1.244	0.080	-1.314	0.080	-1.284
0.079	-1.254	0.079	-1.331	0.079	-1.294
0.078	-1.261	0.078	-1.330	0.078	-1.294
0.077	-1.270	0.077	-1.340	0.077	-1.310
0.076	-1.285	0.076	-1.354	0.076	-1.320
0.075	-1.297	0.075	-1.354	0.075	-1.333
0.074	-1.299	0.074	-1.366	0.074	-1.336
0.073	-1.316	0.073	-1.373	0.073	-1.345
0.072	-1.320	0.072	-1.377	0.072	-1.342
0.071	-1.333	0.071	-1.389	0.071	-1.359
0.070	-1.340	0.070	-1.389	0.070	-1.357
0.069	-1.348	0.069	-1.405	0.069	-1.373
0.068	-1.351	0.068	-1.405	0.068	-1.368
0.067	-1.383	0.067	-1.439	0.067	-1.408
0.066	-1.377	0.066	-1.431	0.066	-1.391
0.065	-1.380	0.065	-1.428	0.065	-1.396
0.064	-1.385	0.064	-1.434	0.064	-1.399
0.063	-1.397	0.063	-1.443	0.063	-1.419
0.062	-1.396	0.062	-1.452	0.062	-1.412
0.061	-1.408	0.061	-1.455	0.061	-1.416
0.060	-1.417	0.060	-1.465	0.060	-1.422
0.059	-1.435	0.059	-1.477	0.059	-1.446
0.058	-1.426	0.058	-1.474	0.058	-1.435
0.057	-1.446	0.057	-1.477	0.057	-1.439
0.056	-1.446	0.056	-1.478	0.056	-1.445
0.055	-1.455	0.055	-1.491	0.055	-1.462
0.054	-1.466	0.054	-1.498	0.054	-1.462
0.053	-1.478	0.053	-1.506	0.053	-1.469
0.052	-1.486	0.052	-1.506	0.052	-1.480
0.051	-1.501	0.051	-1.540	0.051	-1.494
0.050	-1.495	0.050	-1.526	0.050	-1.486
0.049	-1.509	0.049	-1.529	0.049	-1.489
0.048	-1.512	0.048	-1.534	0.048	-1.491
0.047	-1.523	0.047	-1.544	0.047	-1.503
0.046	-1.518	0.046	-1.543	0.046	-1.506
