E /V	I /uA	E /V	I /uA
0.100	-0.182	0.100	-1.081
0.099	-0.411	0.099	-1.100
0.098	-0.589	0.098	-1.093
0.097	-0.733	0.097	-1.103
0.096	-0.828	0.096	-1.110
0.095	-0.897	0.095	-1.121
0.094	-0.946	0.094	-1.121
0.093	-0.983	0.093	-1.139
0.092	-1.017	0.092	-1.152
0.091	-1.041	0.091	-1.170
0.090	-1.063	0.090	-1.166
0.089	-1.077	0.089	-1.172
0.088	-1.081	0.088	-1.184
0.087	-1.101	0.087	-1.199
0.086	-1.109	0.086	-1.196
0.085	-1.123	0.085	-1.210
0.084	-1.133	0.084	-1.219
0.083	-1.155	0.083	-1.238
0.082	-1.159	0.082	-1.231
0.081	-1.164	0.081	-1.241
0.080	-1.164	0.080	-1.244
0.079	-1.181	0.079	-1.250
0.078	-1.181	0.078	-1.265
0.077	-1.198	0.077	-1.279
0.076	-1.196	0.076	-1.284
0.075	-1.222	0.075	-1.288
0.074	-1.225	0.074	-1.299
0.073	-1.230	0.073	-1.305
0.072	-1.238	0.072	-1.305
0.071	-1.248	0.071	-1.322
0.070	-1.253	0.070	-1.323
0.069	-1.267	0.069	-1.336
0.068	-1.270	0.068	-1.337
0.067	-1.299	0.067	-1.371
0.066	-1.288	0.066	-1.354
0.065	-1.291	0.065	-1.356
0.064	-1.302	0.064	-1.365
0.063	-1.310	0.063	-1.377
0.062	-1.314	0.062	-1.374
0.061	-1.322	0.061	-1.382
0.060	-1.327	0.060	-1.392
0.059	-1.346	0.059	-1.402
0.058	-1.343	0.058	-1.402
0.057	-1.350	0.057	-1.403
0.056	-1.356	0.056	-1.414
0.055	-1.357	0.055	-1.428
0.054	-1.374	0.054	-1.428
0.053	-1.385	0.053	-1.434
0.052	-1.385	0.052	-1.439
0.051	-1.400	0.051	-1.458
0.050	-1.399	0.050	-1.448
0.049	-1.402	0.049	-1.449
0.048	-1.406	0.048	-1.466
0.047	-1.417	0.047	-1.475
0.046	-1.422	0.046	-1.466
0.045	-1.431	0.045	-1.480
0.044	-1.440	0.044	-1.477
0.043	-1.448	0.043	-1.492
0.042	-1.440	0.042	-1.489
0.041	-1.452	0.041	-1.504
0.040	-1.454	0.040	-1.511
0.039	-1.474	0.039	-1.520
0.038	-1.468	0.038	-1.512
0.037	-1.480	0.037	-1.527
0.036	-1.488	0.036	-1.526
0.035	-1.506	0.035	-1.547
0.034	-1.491	0.034	-1.531
0.033	-1.498	0.033	-1.544
0.032	-1.504	0.032	-1.549
0.031	-1.514	0.031	-1.560
0.030	-1.515	0.030	-1.557
0.029	-1.521	0.029	-1.557
0.028	-1.523	0.028	-1.563
0.027	-1.546	0.027	-1.589
0.026	-1.537	0.026	-1.578
0.025	-1.549	0.025	-1.577
0.024	-1.550	0.024	-1.598
0.023	-1.564	0.023	-1.603
0.022	-1.566	0.022	-1.596
0.021	-1.573	0.021	-1.603
0.020	-1.573	0.020	-1.610
0.019	-1.601	0.019	-1.635
0.018	-1.590	0.018	-1.632
0.017	-1.601	0.017	-1.632
0.016	-1.610	0.016	-1.636
0.015	-1.613	0.015	-1.646
0.014	-1.619	0.014	-1.646
0.013	-1.621	0.013	-1.653
0.012	-1.627	0.012	-1.656
0.011	-1.650	0.011	-1.676
0.010	-1.650	0.010	-1.672
0.009	-1.650	0.009	-1.684
0.008	-1.658	0.008	-1.688
0.007	-1.673	0.007	-1.698
0.006	-1.670	0.006	-1.688
0.005	-1.670	0.005	-1.704
0.004	-1.696	0.004	-1.721
0.003	-1.728	0.003	-1.759
0.002	-1.702	0.002	-1.739
0.001	-1.708	0.001	-1.738
0.000	-1.708	0.000	-1.730
-0.001	-1.725	-0.001	-1.754
-0.002	-1.733	-0.002	-1.756
-0.003	-1.738	-0.003	-1.761
-0.004	-1.747	-0.004	-1.779
-0.005	-1.762	-0.005	-1.788
-0.006	-1.764	-0.006	-1.800
-0.007	-1.777	-0.007	-1.811
-0.008	-1.788	-0.008	-1.817
-0.009	-1.800	-0.009	-1.830
-0.010	-1.497	-0.010	-1.520
-0.009	-0.823	-0.009	-0.846
-0.008	-0.271	-0.008	-0.296
-0.007	0.144	-0.007	0.106
-0.006	0.430	-0.006	0.396
-0.005	0.657	-0.005	0.621
-0.004	0.798	-0.004	0.770
-0.003	0.911	-0.003	0.880
-0.002	0.983	-0.002	0.956
-0.001	1.058	-0.001	1.022
0.000	1.095	0.000	1.066
0.001	1.135	0.001	1.104
0.002	1.161	0.002	1.133
0.003	1.215	0.003	1.190
0.004	1.206	0.004	1.183
0.005	1.229	0.005	1.209
0.006	1.235	0.006	1.207
0.007	1.258	0.007	1.236
0.008	1.268	0.008	1.241
0.009	1.279	0.009	1.262
0.010	1.284	0.010	1.267
0.011	1.302	0.011	1.293
0.012	1.307	0.012	1.284
0.013	1.316	0.013	1.307
0.014	1.321	0.014	1.302
0.015	1.339	0.015	1.321
0.016	1.330	0.016	1.314
0.017	1.344	0.017	1.322
0.018	1.348	0.018	1.334
0.019	1.370	0.019	1.357
0.020	1.354	0.020	1.341
0.021	1.367	0.021	1.347
0.022	1.365	0.022	1.350
0.023	1.373	0.023	1.360
0.024	1.368	0.024	1.356
0.025	1.382	0.025	1.362
0.026	1.373	0.026	1.354
0.027	1.390	0.027	1.373
0.028	1.383	0.028	1.365
0.029	1.382	0.029	1.370
0.030	1.382	0.030	1.362
0.031	1.388	0.031	1.374
0.032	1.379	0.032	1.365
0.033	1.385	0.033	1.367
0.034	1.379	0.034	1.364
0.035	1.400	0.035	1.388
0.036	1.379	0.036	1.368
0.037	1.382	0.037	1.377
0.038	1.382	0.038	1.364
0.039	1.387	0.039	1.373
0.040	1.370	0.040	1.362
0.041	1.377	0.041	1.368
0.042	1.374	0.042	1.356
0.043	1.387	0.043	1.367
0.044	1.377	0.044	1.356
0.045	1.370	0.045	1.354
0.046	1.367	0.046	1.350
0.047	1.371	0.047	1.359
0.048	1.364	0.048	1.353
0.049	1.370	0.049	1.350
0.050	1.360	0.050	1.345
0.051	1.371	0.051	1.360
0.052	1.356	0.052	1.341
0.053	1.359	0.053	1.339
0.054	1.344	0.054	1.330
0.055	1.351	0.055	1.345
0.056	1.334	0.056	1.325
0.057	1.333	0.057	1.324
0.058	1.325	0.058	1.314
0.059	1.339	0.059	1.321
0.060	1.325	0.060	1.307
0.061	1.325	0.061	1.313
0.062	1.316	0.062	1.287
0.063	1.310	0.063	1.299
0.064	1.308	0.064	1.291
0.065	1.302	0.065	1.288
0.066	1.296	0.066	1.290
0.067	1.321	0.067	1.302
0.068	1.288	0.068	1.273
0.069	1.285	0.069	1.272
0.070	1.276	0.070	1.262
0.071	1.275	0.071	1.256
0.072	1.262	0.072	1.245
0.073	1.261	0.073	1.249
0.074	1.255	0.074	1.233
0.075	1.258	0.075	1.235
0.076	1.229	0.076	1.226
0.077	1.239	0.077	1.222
0.078	1.224	0.078	1.207
0.079	1.226	0.079	1.210
0.080	1.212	0.080	1.196
0.081	1.209	0.081	1.196
0.082	1.195	0.082	1.181
0.083	1.209	0.083	1.199
0.084	1.192	0.084	1.175
0.085	1.181		
0.086	1.170		
0.087	1.173		
0.088	1.160		
0.089	1.161		
0.090	1.144		
0.091	1.141		
0.092	1.129		
0.093	1.126		
0.094	1.112		
0.095	1.107		
0.096	1.098		
0.097	1.091		
0.098	1.084		
0.099	1.086		
0.100	1.069		
0.101	1.057		
0.102	1.043		
0.103	1.041		
0.104	1.028		
0.105	1.025		
0.106	1.008		
0.107	1.011		
0.108	0.999		
0.109	0.989		
0.110	0.983		
0.111	0.974		
0.112	0.962		
0.113	0.953		
0.114	0.939		
0.115	0.948		
0.116	0.933		
0.117	0.926		
0.118	0.908		
0.119	0.913		
0.120	0.893		
0.121	0.893		
0.122	0.877		
0.123	0.870		
0.124	0.860		
0.125	0.854		
0.126	0.834		
0.127	0.839		
0.128	0.824		
0.129	0.827		
0.130	0.805		
0.131	0.808		
0.132	0.791		
0.133	0.793		
0.134	0.779		
0.135	0.778		
0.136	0.767		
0.137	0.758		
0.138	0.744		
0.139	0.747		
0.140	0.739		
0.141	0.727		
0.142	0.715		
0.143	0.718		
0.144	0.706		
0.145	0.701		
0.146	0.696		
0.147	0.699		
0.148	0.681		
0.149	0.684		
0.150	0.672		
0.151	0.666		
0.152	0.655		
0.153	0.650		
0.154	0.641		
0.155	0.646		
0.156	0.640		
0.157	0.632		
0.158	0.629		
0.159	0.624		
0.160	0.618		
0.161	0.620		
0.162	0.607		
0.163	0.618		
0.164	0.603		
0.165	0.598		
0.166	0.595		
0.167	0.604		
0.168	0.591		
0.169	0.591		
0.170	0.581		
0.171	0.595		
0.172	0.587		
0.173	0.586		
0.174	0.584		
0.175	0.589		
0.176	0.578		
0.177	0.583		
0.178	0.589		
0.179	0.592		
0.180	0.583		
0.181	0.587		
0.182	0.586		
0.183	0.592		
0.184	0.589		
0.185	0.594		
0.186	0.597		
0.187	0.607		
0.188	0.597		
0.189	0.601		
0.190	0.604		
0.191	0.606		
0.192	0.601		
0.193	0.604		
0.194	0.604		
0.195	0.618		
0.196	0.614		
0.197	0.614		
0.198	0.611		
0.199	0.615		
0.200	0.614		
0.201	0.611		
0.202	0.614		
0.203	0.609		
0.204	0.604		
0.205	0.603		
0.206	0.603		
0.207	0.607		
0.208	0.601		
0.209	0.598		
0.210	0.587		
0.211	0.594		
0.212	0.591		
0.213	0.580		
0.214	0.581		
0.215	0.578		
0.216	0.572		
0.217	0.560		
0.218	0.560		
0.219	0.555		
0.220	0.543		
0.221	0.537		
0.222	0.529		
0.223	0.528		
0.224	0.520		
0.225	0.509		
0.226	0.502		
0.227	0.486		
0.228	0.472		
0.229	0.477		
0.230	0.466		
0.231	0.457		
0.232	0.445		
0.233	0.439		
0.234	0.423		
0.235	0.422		
0.236	0.419		
0.237	0.413		
0.238	0.399		
0.239	0.399		
0.240	0.391		
0.241	0.380		
0.242	0.376		
0.243	0.377		
0.244	0.370		
