E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.098	0.100	-0.713	0.100	-0.710	0.100	-0.695	0.100	-0.682
0.099	-0.264	0.099	-0.728	0.099	-0.721	0.099	-0.716	0.099	-0.702
0.098	-0.391	0.098	-0.730	0.098	-0.721	0.098	-0.715	0.098	-0.696
0.097	-0.492	0.097	-0.735	0.097	-0.722	0.097	-0.719	0.097	-0.705
0.096	-0.564	0.096	-0.744	0.096	-0.733	0.096	-0.725	0.096	-0.719
0.095	-0.616	0.095	-0.750	0.095	-0.744	0.095	-0.736	0.095	-0.727
0.094	-0.655	0.094	-0.758	0.094	-0.751	0.094	-0.742	0.094	-0.738
0.093	-0.685	0.093	-0.770	0.093	-0.762	0.093	-0.753	0.093	-0.738
0.092	-0.708	0.092	-0.774	0.092	-0.765	0.092	-0.759	0.092	-0.745
0.091	-0.730	0.091	-0.785	0.091	-0.774	0.091	-0.771	0.091	-0.761
0.090	-0.745	0.090	-0.790	0.090	-0.785	0.090	-0.776	0.090	-0.767
0.089	-0.754	0.089	-0.796	0.089	-0.791	0.089	-0.784	0.089	-0.776
0.088	-0.770	0.088	-0.808	0.088	-0.797	0.088	-0.790	0.088	-0.773
0.087	-0.777	0.087	-0.817	0.087	-0.804	0.087	-0.799	0.087	-0.787
0.086	-0.785	0.086	-0.819	0.086	-0.816	0.086	-0.805	0.086	-0.799
0.085	-0.800	0.085	-0.833	0.085	-0.822	0.085	-0.804	0.085	-0.788
0.084	-0.810	0.084	-0.837	0.084	-0.830	0.084	-0.817	0.084	-0.811
0.083	-0.830	0.083	-0.854	0.083	-0.846	0.083	-0.836	0.083	-0.828
0.082	-0.823	0.082	-0.851	0.082	-0.846	0.082	-0.842	0.082	-0.822
0.081	-0.834	0.081	-0.857	0.081	-0.853	0.081	-0.843	0.081	-0.833
0.080	-0.843	0.080	-0.862	0.080	-0.863	0.080	-0.850	0.080	-0.836
0.079	-0.854	0.079	-0.874	0.079	-0.868	0.079	-0.856	0.079	-0.848
0.078	-0.857	0.078	-0.882	0.078	-0.866	0.078	-0.863	0.078	-0.848
0.077	-0.866	0.077	-0.891	0.077	-0.882	0.077	-0.873	0.077	-0.860
0.076	-0.874	0.076	-0.899	0.076	-0.883	0.076	-0.877	0.076	-0.865
0.075	-0.889	0.075	-0.903	0.075	-0.902	0.075	-0.886	0.075	-0.885
0.074	-0.893	0.074	-0.916	0.074	-0.900	0.074	-0.891	0.074	-0.883
0.073	-0.900	0.073	-0.914	0.073	-0.906	0.073	-0.899	0.073	-0.888
0.072	-0.908	0.072	-0.923	0.072	-0.919	0.072	-0.905	0.072	-0.889
0.071	-0.919	0.071	-0.931	0.071	-0.922	0.071	-0.912	0.071	-0.902
0.070	-0.922	0.070	-0.937	0.070	-0.923	0.070	-0.917	0.070	-0.908
0.069	-0.931	0.069	-0.948	0.069	-0.942	0.069	-0.923	0.069	-0.914
0.068	-0.939	0.068	-0.948	0.068	-0.942	0.068	-0.934	0.068	-0.922
0.067	-0.965	0.067	-0.972	0.067	-0.966	0.067	-0.952	0.067	-0.942
0.066	-0.955	0.066	-0.962	0.066	-0.955	0.066	-0.949	0.066	-0.942
0.065	-0.958	0.065	-0.968	0.065	-0.963	0.065	-0.955	0.065	-0.942
0.064	-0.960	0.064	-0.978	0.064	-0.966	0.064	-0.965	0.064	-0.949
0.063	-0.974	0.063	-0.985	0.063	-0.972	0.063	-0.965	0.063	-0.955
0.062	-0.978	0.062	-0.981	0.062	-0.980	0.062	-0.966	0.062	-0.960
0.061	-0.981	0.061	-0.989	0.061	-0.983	0.061	-0.975	0.061	-0.971
0.060	-0.986	0.060	-0.995	0.060	-0.988	0.060	-0.980	0.060	-0.968
0.059	-1.003	0.059	-1.008	0.059	-1.006	0.059	-0.986	0.059	-0.980
0.058	-1.004	0.058	-1.011	0.058	-0.998	0.058	-0.989	0.058	-0.983
0.057	-1.011	0.057	-1.017	0.057	-1.008	0.057	-0.997	0.057	-0.989
0.056	-1.012	0.056	-1.012	0.056	-1.017	0.056	-0.998	0.056	-0.989
0.055	-1.018	0.055	-1.026	0.055	-1.018	0.055	-1.017	0.055	-0.998
0.054	-1.032	0.054	-1.032	0.054	-1.020	0.054	-1.014	0.054	-1.003
0.053	-1.038	0.053	-1.034	0.053	-1.034	0.053	-1.021	0.053	-1.012
0.052	-1.043	0.052	-1.041	0.052	-1.035	0.052	-1.024	0.052	-1.017
0.051	-1.061	0.051	-1.058	0.051	-1.049	0.051	-1.050	0.051	-1.035
0.050	-1.061	0.050	-1.057	0.050	-1.050	0.050	-1.043	0.050	-1.031
0.049	-1.064	0.049	-1.060	0.049	-1.055	0.049	-1.040	0.049	-1.035
0.048	-1.070	0.048	-1.061	0.048	-1.063	0.048	-1.052	0.048	-1.035
0.047	-1.078	0.047	-1.072	0.047	-1.064	0.047	-1.060	0.047	-1.049
0.046	-1.080	0.046	-1.075	0.046	-1.067	0.046	-1.063	0.046	-1.047
0.045	-1.086	0.045	-1.080	0.045	-1.073	0.045	-1.064	0.045	-1.054
0.044	-1.092	0.044	-1.090	0.044	-1.078	0.044	-1.066	0.044	-1.058
0.043	-1.107	0.043	-1.100	0.043	-1.095	0.043	-1.086	0.043	-1.075
0.042	-1.107	0.042	-1.095	0.042	-1.083	0.042	-1.075	0.042	-1.069
0.041	-1.113	0.041	-1.103	0.041	-1.095	0.041	-1.093	0.041	-1.077
0.040	-1.110	0.040	-1.110	0.040	-1.101	0.040	-1.092	0.040	-1.087
0.039	-1.123	0.039	-1.116	0.039	-1.112	0.039	-1.100	0.039	-1.096
0.038	-1.130	0.038	-1.116	0.038	-1.109	0.038	-1.101	0.038	-1.096
0.037	-1.136	0.037	-1.121	0.037	-1.120	0.037	-1.112	0.037	-1.100
0.036	-1.139	0.036	-1.129	0.036	-1.124	0.036	-1.112	0.036	-1.103
0.035	-1.166	0.035	-1.149	0.035	-1.141	0.035	-1.127	0.035	-1.116
0.034	-1.150	0.034	-1.127	0.034	-1.127	0.034	-1.120	0.034	-1.115
0.033	-1.158	0.033	-1.136	0.033	-1.133	0.033	-1.116	0.033	-1.124
0.032	-1.161	0.032	-1.143	0.032	-1.138	0.032	-1.126	0.032	-1.113
0.031	-1.167	0.031	-1.149	0.031	-1.144	0.031	-1.139	0.031	-1.129
0.030	-1.179	0.030	-1.153	0.030	-1.147	0.030	-1.150	0.030	-1.135
0.029	-1.181	0.029	-1.164	0.029	-1.152	0.029	-1.146	0.029	-1.143
0.028	-1.179	0.028	-1.166	0.028	-1.158	0.028	-1.150	0.028	-1.144
0.027	-1.199	0.027	-1.179	0.027	-1.170	0.027	-1.164	0.027	-1.159
0.026	-1.190	0.026	-1.172	0.026	-1.169	0.026	-1.166	0.026	-1.156
0.025	-1.199	0.025	-1.169	0.025	-1.173	0.025	-1.169	0.025	-1.156
0.024	-1.201	0.024	-1.181	0.024	-1.175	0.024	-1.170	0.024	-1.161
0.023	-1.213	0.023	-1.193	0.023	-1.184	0.023	-1.178	0.023	-1.175
0.022	-1.210	0.022	-1.185	0.022	-1.182	0.022	-1.175	0.022	-1.176
0.021	-1.222	0.021	-1.196	0.021	-1.192	0.021	-1.189	0.021	-1.178
0.020	-1.228	0.020	-1.199	0.020	-1.201	0.020	-1.190	0.020	-1.185
0.019	-1.248	0.019	-1.222	0.019	-1.212	0.019	-1.210	0.019	-1.199
0.018	-1.245	0.018	-1.215	0.018	-1.208	0.018	-1.198	0.018	-1.195
0.017	-1.242	0.017	-1.215	0.017	-1.207	0.017	-1.201	0.017	-1.201
0.016	-1.247	0.016	-1.221	0.016	-1.213	0.016	-1.212	0.016	-1.205
0.015	-1.256	0.015	-1.228	0.015	-1.222	0.015	-1.213	0.015	-1.208
0.014	-1.256	0.014	-1.225	0.014	-1.225	0.014	-1.219	0.014	-1.212
0.013	-1.264	0.013	-1.230	0.013	-1.228	0.013	-1.224	0.013	-1.218
0.012	-1.262	0.012	-1.235	0.012	-1.235	0.012	-1.228	0.012	-1.228
0.011	-1.274	0.011	-1.250	0.011	-1.248	0.011	-1.239	0.011	-1.239
0.010	-1.281	0.010	-1.247	0.010	-1.242	0.010	-1.236	0.010	-1.227
0.009	-1.281	0.009	-1.253	0.009	-1.245	0.009	-1.242	0.009	-1.233
