E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.083	0.100	-0.604	0.100	-0.597	0.100	-0.586	0.100	-0.575
0.099	-0.224	0.099	-0.616	0.099	-0.612	0.099	-0.603	0.099	-0.586
0.098	-0.340	0.098	-0.618	0.098	-0.610	0.098	-0.601	0.098	-0.595
0.097	-0.428	0.097	-0.627	0.097	-0.616	0.097	-0.598	0.097	-0.595
0.096	-0.489	0.096	-0.636	0.096	-0.627	0.096	-0.613	0.096	-0.609
0.095	-0.541	0.095	-0.646	0.095	-0.633	0.095	-0.624	0.095	-0.612
0.094	-0.570	0.094	-0.650	0.094	-0.646	0.094	-0.632	0.094	-0.620
0.093	-0.597	0.093	-0.659	0.093	-0.650	0.093	-0.636	0.093	-0.626
0.092	-0.623	0.092	-0.664	0.092	-0.655	0.092	-0.638	0.092	-0.630
0.091	-0.635	0.091	-0.678	0.091	-0.662	0.091	-0.650	0.091	-0.643
0.090	-0.647	0.090	-0.675	0.090	-0.659	0.090	-0.655	0.090	-0.649
0.089	-0.652	0.089	-0.685	0.089	-0.673	0.089	-0.667	0.089	-0.655
0.088	-0.672	0.088	-0.695	0.088	-0.679	0.088	-0.673	0.088	-0.664
0.087	-0.679	0.087	-0.705	0.087	-0.692	0.087	-0.682	0.087	-0.673
0.086	-0.687	0.086	-0.708	0.086	-0.702	0.086	-0.687	0.086	-0.672
0.085	-0.695	0.085	-0.718	0.085	-0.705	0.085	-0.692	0.085	-0.679
0.084	-0.702	0.084	-0.725	0.084	-0.715	0.084	-0.702	0.084	-0.693
0.083	-0.721	0.083	-0.742	0.083	-0.724	0.083	-0.718	0.083	-0.702
0.082	-0.725	0.082	-0.739	0.082	-0.731	0.082	-0.715	0.082	-0.707
0.081	-0.727	0.081	-0.744	0.081	-0.739	0.081	-0.713	0.081	-0.710
0.080	-0.736	0.080	-0.754	0.080	-0.735	0.080	-0.728	0.080	-0.710
0.079	-0.745	0.079	-0.761	0.079	-0.748	0.079	-0.741	0.079	-0.725
0.078	-0.751	0.078	-0.767	0.078	-0.758	0.078	-0.747	0.078	-0.731
0.077	-0.764	0.077	-0.768	0.077	-0.759	0.077	-0.748	0.077	-0.739
0.076	-0.768	0.076	-0.779	0.076	-0.768	0.076	-0.753	0.076	-0.742
