E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.120	0.100	-0.975	0.100	-0.935	0.100	-0.919	0.100	-0.903
0.099	-0.342	0.099	-0.997	0.099	-0.960	0.099	-0.939	0.099	-0.925
0.098	-0.527	0.098	-0.991	0.098	-0.957	0.098	-0.935	0.098	-0.914
0.097	-0.667	0.097	-1.006	0.097	-0.962	0.097	-0.943	0.097	-0.929
0.096	-0.776	0.096	-1.008	0.096	-0.966	0.096	-0.946	0.096	-0.940
0.095	-0.848	0.095	-1.021	0.095	-0.975	0.095	-0.966	0.095	-0.954
0.094	-0.896	0.094	-1.027	0.094	-0.991	0.094	-0.971	0.094	-0.957
0.093	-0.934	0.093	-1.038	0.093	-1.000	0.093	-0.980	0.093	-0.966
0.092	-0.962	0.092	-1.044	0.092	-1.004	0.092	-0.992	0.092	-0.969
0.091	-0.994	0.091	-1.067	0.091	-1.021	0.091	-1.004	0.091	-0.986
0.090	-0.998	0.090	-1.064	0.090	-1.023	0.090	-1.000	0.090	-0.988
0.089	-1.020	0.089	-1.067	0.089	-1.034	0.089	-1.014	0.089	-0.998
0.088	-1.032	0.088	-1.077	0.088	-1.035	0.088	-1.021	0.088	-1.011
0.087	-1.055	0.087	-1.092	0.087	-1.047	0.087	-1.031	0.087	-1.018
0.086	-1.060	0.086	-1.093	0.086	-1.058	0.086	-1.037	0.086	-1.027
0.085	-1.069	0.085	-1.107	0.085	-1.070	0.085	-1.049	0.085	-1.027
0.084	-1.080	0.084	-1.110	0.084	-1.069	0.084	-1.050	0.084	-1.044
0.083	-1.103	0.083	-1.135	0.083	-1.086	0.083	-1.075	0.083	-1.067
0.082	-1.096	0.082	-1.135	0.082	-1.090	0.082	-1.073	0.082	-1.058
0.081	-1.112	0.081	-1.138	0.081	-1.104	0.081	-1.077	0.081	-1.063
0.080	-1.116	0.080	-1.141	0.080	-1.100	0.080	-1.084	0.080	-1.067
0.079	-1.129	0.079	-1.158	0.079	-1.113	0.079	-1.100	0.079	-1.083
0.078	-1.132	0.078	-1.156	0.078	-1.116	0.078	-1.092	0.078	-1.081
0.077	-1.143	0.077	-1.166	0.077	-1.126	0.077	-1.110	0.077	-1.089
0.076	-1.149	0.076	-1.173	0.076	-1.133	0.076	-1.112	0.076	-1.101
0.075	-1.166	0.075	-1.182	0.075	-1.147	0.075	-1.132	0.075	-1.109
0.074	-1.164	0.074	-1.192	0.074	-1.147	0.074	-1.130	0.074	-1.110
0.073	-1.173	0.073	-1.189	0.073	-1.152	0.073	-1.143	0.073	-1.120
0.072	-1.176	0.072	-1.204	0.072	-1.158	0.072	-1.139	0.072	-1.127
0.071	-1.198	0.071	-1.213	0.071	-1.173	0.071	-1.150	0.071	-1.139
0.070	-1.196	0.070	-1.215	0.070	-1.172	0.070	-1.156	0.070	-1.143
0.069	-1.202	0.069	-1.219	0.069	-1.176	0.069	-1.167	0.069	-1.147
0.068	-1.213	0.068	-1.224	0.068	-1.185	0.068	-1.166	0.068	-1.150
0.067	-1.239	0.067	-1.256	0.067	-1.208	0.067	-1.195	0.067	-1.181
0.066	-1.230	0.066	-1.244	0.066	-1.195	0.066	-1.181	0.066	-1.170
0.065	-1.236	0.065	-1.242	0.065	-1.204	0.065	-1.178	0.065	-1.170
0.064	-1.236	0.064	-1.251	0.064	-1.208	0.064	-1.198	0.064	-1.178
0.063	-1.250	0.063	-1.256	0.063	-1.216	0.063	-1.196	0.063	-1.184
0.062	-1.244	0.062	-1.259	0.062	-1.213	0.062	-1.199	0.062	-1.182
0.061	-1.256	0.061	-1.267	0.061	-1.216	0.061	-1.207	0.061	-1.196
0.060	-1.256	0.060	-1.271	0.060	-1.228	0.060	-1.213	0.060	-1.189
0.059	-1.277	0.059	-1.281	0.059	-1.245	0.059	-1.225	0.059	-1.208
0.058	-1.268	0.058	-1.284	0.058	-1.236	0.058	-1.218	0.058	-1.207
0.057	-1.277	0.057	-1.291	0.057	-1.242	0.057	-1.235	0.057	-1.202
0.056	-1.285	0.056	-1.291	0.056	-1.248	0.056	-1.230	0.056	-1.208
