E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.115	0.100	-1.300	0.100	-1.265	0.100	-1.241	0.100	-1.228	0.100	-1.216	0.100	-1.207	0.100	-1.196	0.100	-1.187	0.100	-1.173
0.099	-0.377	0.099	-1.323	0.099	-1.282	0.099	-1.267	0.099	-1.248	0.099	-1.238	0.099	-1.221	0.099	-1.218	0.099	-1.213	0.099	-1.201
0.098	-0.601	0.098	-1.314	0.098	-1.273	0.098	-1.261	0.098	-1.248	0.098	-1.235	0.098	-1.221	0.098	-1.213	0.098	-1.198	0.098	-1.192
0.097	-0.793	0.097	-1.323	0.097	-1.279	0.097	-1.262	0.097	-1.251	0.097	-1.236	0.097	-1.225	0.097	-1.221	0.097	-1.215	0.097	-1.198
0.096	-0.940	0.096	-1.322	0.096	-1.282	0.096	-1.271	0.096	-1.256	0.096	-1.247	0.096	-1.235	0.096	-1.225	0.096	-1.216	0.096	-1.208
0.095	-1.052	0.095	-1.339	0.095	-1.297	0.095	-1.281	0.095	-1.265	0.095	-1.258	0.095	-1.245	0.095	-1.236	0.095	-1.230	0.095	-1.221
0.094	-1.126	0.094	-1.343	0.094	-1.311	0.094	-1.291	0.094	-1.271	0.094	-1.261	0.094	-1.251	0.094	-1.250	0.094	-1.233	0.094	-1.224
0.093	-1.179	0.093	-1.350	0.093	-1.314	0.093	-1.294	0.093	-1.282	0.093	-1.274	0.093	-1.265	0.093	-1.251	0.093	-1.242	0.093	-1.238
0.092	-1.224	0.092	-1.348	0.092	-1.310	0.092	-1.294	0.092	-1.284	0.092	-1.271	0.092	-1.268	0.092	-1.261	0.092	-1.259	0.092	-1.236
0.091	-1.261	0.091	-1.369	0.091	-1.331	0.091	-1.314	0.091	-1.302	0.091	-1.296	0.091	-1.287	0.091	-1.279	0.091	-1.268	0.091	-1.264
0.090	-1.277	0.090	-1.365	0.090	-1.339	0.090	-1.317	0.090	-1.316	0.090	-1.297	0.090	-1.285	0.090	-1.279	0.090	-1.270	0.090	-1.261
0.089	-1.291	0.089	-1.376	0.089	-1.345	0.089	-1.323	0.089	-1.314	0.089	-1.305	0.089	-1.299	0.089	-1.290	0.089	-1.276	0.089	-1.270
0.088	-1.308	0.088	-1.386	0.088	-1.348	0.088	-1.327	0.088	-1.320	0.088	-1.308	0.088	-1.296	0.088	-1.293	0.088	-1.285	0.088	-1.270
0.087	-1.323	0.087	-1.389	0.087	-1.357	0.087	-1.348	0.087	-1.334	0.087	-1.325	0.087	-1.314	0.087	-1.317	0.087	-1.297	0.087	-1.287
0.086	-1.331	0.086	-1.394	0.086	-1.359	0.086	-1.348	0.086	-1.334	0.086	-1.328	0.086	-1.322	0.086	-1.310	0.086	-1.299	0.086	-1.290
0.085	-1.348	0.085	-1.403	0.085	-1.366	0.085	-1.350	0.085	-1.342	0.085	-1.333	0.085	-1.322	0.085	-1.317	0.085	-1.304	0.085	-1.294
0.084	-1.351	0.084	-1.405	0.084	-1.371	0.084	-1.362	0.084	-1.360	0.084	-1.337	0.084	-1.327	0.084	-1.325	0.084	-1.314	0.084	-1.307
0.083	-1.376	0.083	-1.423	0.083	-1.389	0.083	-1.380	0.083	-1.373	0.083	-1.360	0.083	-1.357	0.083	-1.346	0.083	-1.340	0.083	-1.327
0.082	-1.377	0.082	-1.422	0.082	-1.396	0.082	-1.377	0.082	-1.371	0.082	-1.360	0.082	-1.350	0.082	-1.346	0.082	-1.334	0.082	-1.328
0.081	-1.380	0.081	-1.422	0.081	-1.399	0.081	-1.388	0.081	-1.371	0.081	-1.365	0.081	-1.357	0.081	-1.346	0.081	-1.345	0.081	-1.330
0.080	-1.383	0.080	-1.428	0.080	-1.403	0.080	-1.385	0.080	-1.383	0.080	-1.371	0.080	-1.363	0.080	-1.353	0.080	-1.342	0.080	-1.334
0.079	-1.400	0.079	-1.437	0.079	-1.414	0.079	-1.400	0.079	-1.388	0.079	-1.383	0.079	-1.369	0.079	-1.365	0.079	-1.353	0.079	-1.346
0.078	-1.399	0.078	-1.443	0.078	-1.411	0.078	-1.405	0.078	-1.389	0.078	-1.383	0.078	-1.371	0.078	-1.371	0.078	-1.357	0.078	-1.346
0.077	-1.417	0.077	-1.443	0.077	-1.426	0.077	-1.408	0.077	-1.400	0.077	-1.382	0.077	-1.383	0.077	-1.376	0.077	-1.368	0.077	-1.357
0.076	-1.417	0.076	-1.452	0.076	-1.425	0.076	-1.411	0.076	-1.406	0.076	-1.400	0.076	-1.388	0.076	-1.383	0.076	-1.371	0.076	-1.357
0.075	-1.437	0.075	-1.455	0.075	-1.446	0.075	-1.435	0.075	-1.422	0.075	-1.414	0.075	-1.400	0.075	-1.400	0.075	-1.392	0.075	-1.379
0.074	-1.435	0.074	-1.463	0.074	-1.443	0.074	-1.434	0.074	-1.425	0.074	-1.408	0.074	-1.409	0.074	-1.399	0.074	-1.386	0.074	-1.380
0.073	-1.437	0.073	-1.466	0.073	-1.454	0.073	-1.437	0.073	-1.426	0.073	-1.417	0.073	-1.412	0.073	-1.402	0.073	-1.397	0.073	-1.382
0.072	-1.455	0.072	-1.480	0.072	-1.458	0.072	-1.443	0.072	-1.440	0.072	-1.423	0.072	-1.423	0.072	-1.408	0.072	-1.397	0.072	-1.392
0.071	-1.465	0.071	-1.488	0.071	-1.466	0.071	-1.452	0.071	-1.446	0.071	-1.439	0.071	-1.431	0.071	-1.420	0.071	-1.409	0.071	-1.411
0.070	-1.462	0.070	-1.481	0.070	-1.469	0.070	-1.455	0.070	-1.446	0.070	-1.435	0.070	-1.425	0.070	-1.425	0.070	-1.417	0.070	-1.406
0.069	-1.471	0.069	-1.494	0.069	-1.472	0.069	-1.466	0.069	-1.458	0.069	-1.445	0.069	-1.437	0.069	-1.435	0.069	-1.425	0.069	-1.406
0.068	-1.478	0.068	-1.497	0.068	-1.480	0.068	-1.465	0.068	-1.463	0.068	-1.452	0.068	-1.451	0.068	-1.440	0.068	-1.425	0.068	-1.417
0.067	-1.506	0.067	-1.531	0.067	-1.508	0.067	-1.503	0.067	-1.491	0.067	-1.486	0.067	-1.478	0.067	-1.471	0.067	-1.462	0.067	-1.448
0.066	-1.498	0.066	-1.521	0.066	-1.504	0.066	-1.495	0.066	-1.480	0.066	-1.475	0.066	-1.466	0.066	-1.457	0.066	-1.448	0.066	-1.435
0.065	-1.504	0.065	-1.520	0.065	-1.503	0.065	-1.489	0.065	-1.485	0.065	-1.474	0.065	-1.472	0.065	-1.458	0.065	-1.440	0.065	-1.439
0.064	-1.506	0.064	-1.520	0.064	-1.509	0.064	-1.498	0.064	-1.485	0.064	-1.477	0.064	-1.469	0.064	-1.460	0.064	-1.454	0.064	-1.442
0.063	-1.515	0.063	-1.535	0.063	-1.517	0.063	-1.506	0.063	-1.497	0.063	-1.486	0.063	-1.478	0.063	-1.469	0.063	-1.462	0.063	-1.452
0.062	-1.517	0.062	-1.532	0.062	-1.515	0.062	-1.511	0.062	-1.497	0.062	-1.485	0.062	-1.478	0.062	-1.474	0.062	-1.462	0.062	-1.446
0.061	-1.521	0.061	-1.543	0.061	-1.526	0.061	-1.514	0.061	-1.504	0.061	-1.497	0.061	-1.485	0.061	-1.485	0.061	-1.463	0.061	-1.452
0.060	-1.526	0.060	-1.544	0.060	-1.527	0.060	-1.515	0.060	-1.506	0.060	-1.492	0.060	-1.491	0.060	-1.483	0.060	-1.477	0.060	-1.465
0.059	-1.547	0.059	-1.563	0.059	-1.543	0.059	-1.534	0.059	-1.523	0.059	-1.517	0.059	-1.503	0.059	-1.501	0.059	-1.492	0.059	-1.474
0.058	-1.538	0.058	-1.558	0.058	-1.541	0.058	-1.529	0.058	-1.523	0.058	-1.506	0.058	-1.504	0.058	-1.498	0.058	-1.486	0.058	-1.474
0.057	-1.549	0.057	-1.564	0.057	-1.544	0.057	-1.535	0.057	-1.524	0.057	-1.511	0.057	-1.504	0.057	-1.495	0.057	-1.489	0.057	-1.481
0.056	-1.550	0.056	-1.560	0.056	-1.550	0.056	-1.531	0.056	-1.526	0.056	-1.520	0.056	-1.511	0.056	-1.508	0.056	-1.492	0.056	-1.485
0.055	-1.560	0.055	-1.572	0.055	-1.560	0.055	-1.552	0.055	-1.540	0.055	-1.526	0.055	-1.521	0.055	-1.512	0.055	-1.497	0.055	-1.492
0.054	-1.564	0.054	-1.573	0.054	-1.561	0.054	-1.546	0.054	-1.538	0.054	-1.531	0.054	-1.520	0.054	-1.518	0.054	-1.504	0.054	-1.492
0.053	-1.577	0.053	-1.578	0.053	-1.564	0.053	-1.563	0.053	-1.547	0.053	-1.541	0.053	-1.534	0.053	-1.524	0.053	-1.514	0.053	-1.500
0.052	-1.578	0.052	-1.589	0.052	-1.566	0.052	-1.563	0.052	-1.552	0.052	-1.541	0.052	-1.534	0.052	-1.523	0.052	-1.511	0.052	-1.503
0.051	-1.601	0.051	-1.607	0.051	-1.587	0.051	-1.581	0.051	-1.572	0.051	-1.563	0.051	-1.555	0.051	-1.546	0.051	-1.538	0.051	-1.526
0.050	-1.592	0.050	-1.598	0.050	-1.586	0.050	-1.570	0.050	-1.564	0.050	-1.557	0.050	-1.552	0.050	-1.534	0.050	-1.531	0.050	-1.518
0.049	-1.592	0.049	-1.604	0.049	-1.587	0.049	-1.575	0.049	-1.572	0.049	-1.569	0.049	-1.550	0.049	-1.543	0.049	-1.537	0.049	-1.520
0.048	-1.601	0.048	-1.603	0.048	-1.587	0.048	-1.578	0.048	-1.566	0.048	-1.561	0.048	-1.549	0.048	-1.538	0.048	-1.534	0.048	-1.524
0.047	-1.612	0.047	-1.610	0.047	-1.600	0.047	-1.586	0.047	-1.581	0.047	-1.572	0.047	-1.563	0.047	-1.547	0.047	-1.546	0.047	-1.531
0.046	-1.606	0.046	-1.612	0.046	-1.595	0.046	-1.589	0.046	-1.578	0.046	-1.564	0.046	-1.561	0.046	-1.549	0.046	-1.546	0.046	-1.535
0.045	-1.618	0.045	-1.621	0.045	-1.593	0.045	-1.595	0.045	-1.592	0.045	-1.570	0.045	-1.563	0.045	-1.546	0.045	-1.540	0.045	-1.535
0.044	-1.626	0.044	-1.626	0.044	-1.610	0.044	-1.595	0.044	-1.589	0.044	-1.573	0.044	-1.567	0.044	-1.558	0.044	-1.550	0.044	-1.535
0.043	-1.641	0.043	-1.639	0.043	-1.627	0.043	-1.610	0.043	-1.595	0.043	-1.593	0.043	-1.581	0.043	-1.573	0.043	-1.561	0.043	-1.557
0.042	-1.636	0.042	-1.632	0.042	-1.618	0.042	-1.607	0.042	-1.598	0.042	-1.593	0.042	-1.573	0.042	-1.572	0.042	-1.561	0.042	-1.547
0.041	-1.642	0.041	-1.633	0.041	-1.623	0.041	-1.610	0.041	-1.595	0.041	-1.587	0.041	-1.581	0.041	-1.563	0.041	-1.561	0.041	-1.546
0.040	-1.646	0.040	-1.641	0.040	-1.619	0.040	-1.616	0.040	-1.600	0.040	-1.593	0.040	-1.580	0.040	-1.573	0.040	-1.561	0.040	-1.554
0.039	-1.655	0.039	-1.649	0.039	-1.630	0.039	-1.629	0.039	-1.609	0.039	-1.600	0.039	-1.590	0.039	-1.584	0.039	-1.566	0.039	-1.563
0.038	-1.655	0.038	-1.646	0.038	-1.627	0.038	-1.613	0.038	-1.604	0.038	-1.596	0.038	-1.590	0.038	-1.583	0.038	-1.566	0.038	-1.557
0.037	-1.665	0.037	-1.655	0.037	-1.627	0.037	-1.626	0.037	-1.610	0.037	-1.607	0.037	-1.595	0.037	-1.590	0.037	-1.578	0.037	-1.564
0.036	-1.655	0.036	-1.653	0.036	-1.641	0.036	-1.626	0.036	-1.612	0.036	-1.607	0.036	-1.592	0.036	-1.590	0.036	-1.572	0.036	-1.564
0.035	-1.684	0.035	-1.670	0.035	-1.664	0.035	-1.649	0.035	-1.630	0.035	-1.633	0.035	-1.607	0.035	-1.606	0.035	-1.601	0.035	-1.584
0.034	-1.673	0.034	-1.662	0.034	-1.642	0.034	-1.636	0.034	-1.626	0.034	-1.616	0.034	-1.603	0.034	-1.592	0.034	-1.583	0.034	-1.575
0.033	-1.669	0.033	-1.661	0.033	-1.642	0.033	-1.638	0.033	-1.624	0.033	-1.612	0.033	-1.596	0.033	-1.595	0.033	-1.583	0.033	-1.577
0.032	-1.676	0.032	-1.659	0.032	-1.647	0.032	-1.635	0.032	-1.623	0.032	-1.615	0.032	-1.603	0.032	-1.595	0.032	-1.581	0.032	-1.570
0.031	-1.679	0.031	-1.672	0.031	-1.655	0.031	-1.642	0.031	-1.632	0.031	-1.623	0.031	-1.610	0.031	-1.600	0.031	-1.587	0.031	-1.575
0.030	-1.684	0.030	-1.664	0.030	-1.653	0.030	-1.642	0.030	-1.629	0.030	-1.623	0.030	-1.616	0.030	-1.596	0.030	-1.587	0.030	-1.572
0.029	-1.695	0.029	-1.675	0.029	-1.655	0.029	-1.644	0.029	-1.636	0.029	-1.619	0.029	-1.610	0.029	-1.603	0.029	-1.586	0.029	-1.581
0.028	-1.690	0.028	-1.675	0.028	-1.664	0.028	-1.647	0.028	-1.635	0.028	-1.626	0.028	-1.612	0.028	-1.603	0.028	-1.590	0.028	-1.581
0.027	-1.708	0.027	-1.684	0.027	-1.672	0.027	-1.655	0.027	-1.653	0.027	-1.641	0.027	-1.627	0.027	-1.621	0.027	-1.604	0.027	-1.595
0.026	-1.701	0.026	-1.684	0.026	-1.662	0.026	-1.655	0.026	-1.639	0.026	-1.623	0.026	-1.623	0.026	-1.607	0.026	-1.595	0.026	-1.583
0.025	-1.708	0.025	-1.681	0.025	-1.667	0.025	-1.655	0.025	-1.641	0.025	-1.636	0.025	-1.618	0.025	-1.607	0.025	-1.601	0.025	-1.590
0.024	-1.712	0.024	-1.688	0.024	-1.667	0.024	-1.656	0.024	-1.641	0.024	-1.633	0.024	-1.626	0.024	-1.609	0.024	-1.600	0.024	-1.586
0.023	-1.718	0.023	-1.696	0.023	-1.676	0.023	-1.662	0.023	-1.650	0.023	-1.642	0.023	-1.635	0.023	-1.619	0.023	-1.606	0.023	-1.596
0.022	-1.712	0.022	-1.692	0.022	-1.673	0.022	-1.662	0.022	-1.647	0.022	-1.636	0.022	-1.621	0.022	-1.619	0.022	-1.601	0.022	-1.587
0.021	-1.725	0.021	-1.698	0.021	-1.682	0.021	-1.664	0.021	-1.652	0.021	-1.641	0.021	-1.629	0.021	-1.618	0.021	-1.610	0.021	-1.589
0.020	-1.724	0.020	-1.699	0.020	-1.675	0.020	-1.664	0.020	-1.656	0.020	-1.638	0.020	-1.624	0.020	-1.624	0.020	-1.601	0.020	-1.592
0.019	-1.739	0.019	-1.713	0.019	-1.696	0.019	-1.679	0.019	-1.669	0.019	-1.659	0.019	-1.650	0.019	-1.644	0.019	-1.629	0.019	-1.615
0.018	-1.738	0.018	-1.707	0.018	-1.687	0.018	-1.676	0.018	-1.659	0.018	-1.649	0.018	-1.646	0.018	-1.629	0.018	-1.613	0.018	-1.600
0.017	-1.738	0.017	-1.708	0.017	-1.688	0.017	-1.672	0.017	-1.664	0.017	-1.649	0.017	-1.639	0.017	-1.627	0.017	-1.610	0.017	-1.600
0.016	-1.739	0.016	-1.704	0.016	-1.682	0.016	-1.670	0.016	-1.655	0.016	-1.650	0.016	-1.636	0.016	-1.626	0.016	-1.609	0.016	-1.598
0.015	-1.750	0.015	-1.712	0.015	-1.696	0.015	-1.672	0.015	-1.664	0.015	-1.655	0.015	-1.639	0.015	-1.627	0.015	-1.610	0.015	-1.607
0.014	-1.738	0.014	-1.708	0.014	-1.692	0.014	-1.676	0.014	-1.662	0.014	-1.652	0.014	-1.636	0.014	-1.623	0.014	-1.613	0.014	-1.601
0.013	-1.745	0.013	-1.707	0.013	-1.688	0.013	-1.675	0.013	-1.664	0.013	-1.653	0.013	-1.638	0.013	-1.627	0.013	-1.618	0.013	-1.600
0.012	-1.744	0.012	-1.715	0.012	-1.688	0.012	-1.673	0.012	-1.664	0.012	-1.650	0.012	-1.636	0.012	-1.629	0.012	-1.613	0.012	-1.606
0.011	-1.770	0.011	-1.727	0.011	-1.702	0.011	-1.688	0.011	-1.678	0.011	-1.662	0.011	-1.649	0.011	-1.641	0.011	-1.623	0.011	-1.615
0.010	-1.765	0.010	-1.721	0.010	-1.693	0.010	-1.684	0.010	-1.669	0.010	-1.653	0.010	-1.635	0.010	-1.630	0.010	-1.616	0.010	-1.604
0.009	-1.764	0.009	-1.719	0.009	-1.693	0.009	-1.687	0.009	-1.664	0.009	-1.653	0.009	-1.639	0.009	-1.626	0.009	-1.616	0.009	-1.604
0.008	-1.762	0.008	-1.725	0.008	-1.696	0.008	-1.681	0.008	-1.664	0.008	-1.642	0.008	-1.636	0.008	-1.632	0.008	-1.607	0.008	-1.603
0.007	-1.777	0.007	-1.733	0.007	-1.705	0.007	-1.690	0.007	-1.673	0.007	-1.659	0.007	-1.647	0.007	-1.641	0.007	-1.616	0.007	-1.609
0.006	-1.776	0.006	-1.727	0.006	-1.701	0.006	-1.681	0.006	-1.673	0.006	-1.656	0.006	-1.641	0.006	-1.636	0.006	-1.621	0.006	-1.606
0.005	-1.773	0.005	-1.735	0.005	-1.699	0.005	-1.687	0.005	-1.667	0.005	-1.650	0.005	-1.650	0.005	-1.630	0.005	-1.615	0.005	-1.604
0.004	-1.791	0.004	-1.738	0.004	-1.710	0.004	-1.685	0.004	-1.675	0.004	-1.661	0.004	-1.642	0.004	-1.630	0.004	-1.619	0.004	-1.606
0.003	-1.825	0.003	-1.773	0.003	-1.745	0.003	-1.727	0.003	-1.708	0.003	-1.693	0.003	-1.685	0.003	-1.669	0.003	-1.658	0.003	-1.647
0.002	-1.804	0.002	-1.744	0.002	-1.716	0.002	-1.695	0.002	-1.681	0.002	-1.656	0.002	-1.655	0.002	-1.638	0.002	-1.629	0.002	-1.613
0.001	-1.800	0.001	-1.744	0.001	-1.715	0.001	-1.687	0.001	-1.672	0.001	-1.658	0.001	-1.647	0.001	-1.632	0.001	-1.621	0.001	-1.604
