E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.149	0.100	-1.143	0.100	-1.130	0.100	-1.129	0.100	-1.116	0.100	-1.104	0.100	-1.092	0.100	-1.083	0.100	-1.069	0.100	-1.063
0.099	-0.420	0.099	-1.172	0.099	-1.158	0.099	-1.149	0.099	-1.138	0.099	-1.121	0.099	-1.121	0.099	-1.107	0.099	-1.084	0.099	-1.087
0.098	-0.632	0.098	-1.164	0.098	-1.152	0.098	-1.130	0.098	-1.130	0.098	-1.120	0.098	-1.109	0.098	-1.106	0.098	-1.092	0.098	-1.077
0.097	-0.800	0.097	-1.164	0.097	-1.161	0.097	-1.147	0.097	-1.138	0.097	-1.127	0.097	-1.113	0.097	-1.112	0.097	-1.092	0.097	-1.086
0.096	-0.920	0.096	-1.166	0.096	-1.169	0.096	-1.150	0.096	-1.146	0.096	-1.138	0.096	-1.127	0.096	-1.115	0.096	-1.104	0.096	-1.083
0.095	-1.000	0.095	-1.190	0.095	-1.173	0.095	-1.167	0.095	-1.155	0.095	-1.149	0.095	-1.139	0.095	-1.120	0.095	-1.116	0.095	-1.106
0.094	-1.054	0.094	-1.192	0.094	-1.192	0.094	-1.170	0.094	-1.155	0.094	-1.147	0.094	-1.143	0.094	-1.130	0.094	-1.121	0.094	-1.110
0.093	-1.109	0.093	-1.201	0.093	-1.190	0.093	-1.181	0.093	-1.173	0.093	-1.161	0.093	-1.152	0.093	-1.144	0.093	-1.130	0.093	-1.115
0.092	-1.133	0.092	-1.213	0.092	-1.202	0.092	-1.184	0.092	-1.178	0.092	-1.169	0.092	-1.164	0.092	-1.149	0.092	-1.138	0.092	-1.124
0.091	-1.166	0.091	-1.224	0.091	-1.221	0.091	-1.202	0.091	-1.192	0.091	-1.185	0.091	-1.170	0.091	-1.164	0.091	-1.152	0.091	-1.146
0.090	-1.173	0.090	-1.225	0.090	-1.216	0.090	-1.207	0.090	-1.193	0.090	-1.187	0.090	-1.167	0.090	-1.164	0.090	-1.158	0.090	-1.150
0.089	-1.193	0.089	-1.230	0.089	-1.227	0.089	-1.210	0.089	-1.210	0.089	-1.192	0.089	-1.187	0.089	-1.179	0.089	-1.156	0.089	-1.153
0.088	-1.207	0.088	-1.233	0.088	-1.231	0.088	-1.222	0.088	-1.212	0.088	-1.202	0.088	-1.190	0.088	-1.179	0.088	-1.172	0.088	-1.161
0.087	-1.218	0.087	-1.251	0.087	-1.247	0.087	-1.239	0.087	-1.225	0.087	-1.216	0.087	-1.198	0.087	-1.189	0.087	-1.179	0.087	-1.166
0.086	-1.225	0.086	-1.258	0.086	-1.248	0.086	-1.235	0.086	-1.227	0.086	-1.219	0.086	-1.202	0.086	-1.202	0.086	-1.185	0.086	-1.172
0.085	-1.235	0.085	-1.267	0.085	-1.254	0.085	-1.239	0.085	-1.231	0.085	-1.227	0.085	-1.207	0.085	-1.201	0.085	-1.190	0.085	-1.178
0.084	-1.245	0.084	-1.271	0.084	-1.265	0.084	-1.251	0.084	-1.251	0.084	-1.227	0.084	-1.224	0.084	-1.213	0.084	-1.199	0.084	-1.189
0.083	-1.276	0.083	-1.297	0.083	-1.288	0.083	-1.290	0.083	-1.268	0.083	-1.251	0.083	-1.247	0.083	-1.235	0.083	-1.224	0.083	-1.212
0.082	-1.254	0.082	-1.294	0.082	-1.284	0.082	-1.270	0.082	-1.262	0.082	-1.253	0.082	-1.241	0.082	-1.233	0.082	-1.213	0.082	-1.204
0.081	-1.265	0.081	-1.299	0.081	-1.287	0.081	-1.281	0.081	-1.270	0.081	-1.256	0.081	-1.242	0.081	-1.236	0.081	-1.228	0.081	-1.207
0.080	-1.276	0.080	-1.305	0.080	-1.299	0.080	-1.282	0.080	-1.270	0.080	-1.261	0.080	-1.244	0.080	-1.239	0.080	-1.231	0.080	-1.215
0.079	-1.293	0.079	-1.314	0.079	-1.304	0.079	-1.294	0.079	-1.281	0.079	-1.264	0.079	-1.264	0.079	-1.258	0.079	-1.236	0.079	-1.231
0.078	-1.293	0.078	-1.313	0.078	-1.308	0.078	-1.297	0.078	-1.293	0.078	-1.277	0.078	-1.268	0.078	-1.250	0.078	-1.239	0.078	-1.225
0.077	-1.304	0.077	-1.327	0.077	-1.319	0.077	-1.300	0.077	-1.297	0.077	-1.277	0.077	-1.271	0.077	-1.262	0.077	-1.258	0.077	-1.236
0.076	-1.308	0.076	-1.331	0.076	-1.325	0.076	-1.311	0.076	-1.299	0.076	-1.285	0.076	-1.282	0.076	-1.267	0.076	-1.251	0.076	-1.242
0.075	-1.327	0.075	-1.339	0.075	-1.337	0.075	-1.323	0.075	-1.313	0.075	-1.310	0.075	-1.291	0.075	-1.282	0.075	-1.270	0.075	-1.258
0.074	-1.320	0.074	-1.348	0.074	-1.334	0.074	-1.322	0.074	-1.317	0.074	-1.300	0.074	-1.296	0.074	-1.281	0.074	-1.268	0.074	-1.250
0.073	-1.330	0.073	-1.354	0.073	-1.337	0.073	-1.328	0.073	-1.319	0.073	-1.300	0.073	-1.300	0.073	-1.300	0.073	-1.270	0.073	-1.267
0.072	-1.340	0.072	-1.357	0.072	-1.346	0.072	-1.331	0.072	-1.323	0.072	-1.316	0.072	-1.308	0.072	-1.293	0.072	-1.279	0.072	-1.261
0.071	-1.351	0.071	-1.369	0.071	-1.362	0.071	-1.350	0.071	-1.342	0.071	-1.323	0.071	-1.317	0.071	-1.305	0.071	-1.290	0.071	-1.284
0.070	-1.354	0.070	-1.371	0.070	-1.357	0.070	-1.351	0.070	-1.337	0.070	-1.327	0.070	-1.314	0.070	-1.305	0.070	-1.288	0.070	-1.276
0.069	-1.365	0.069	-1.379	0.069	-1.369	0.069	-1.359	0.069	-1.342	0.069	-1.337	0.069	-1.327	0.069	-1.313	0.069	-1.304	0.069	-1.285
0.068	-1.366	0.068	-1.380	0.068	-1.379	0.068	-1.363	0.068	-1.350	0.068	-1.331	0.068	-1.333	0.068	-1.313	0.068	-1.304	0.068	-1.294
0.067	-1.402	0.067	-1.409	0.067	-1.411	0.067	-1.392	0.067	-1.383	0.067	-1.376	0.067	-1.365	0.067	-1.351	0.067	-1.339	0.067	-1.323
0.066	-1.385	0.066	-1.405	0.066	-1.389	0.066	-1.380	0.066	-1.366	0.066	-1.359	0.066	-1.348	0.066	-1.339	0.066	-1.323	0.066	-1.308
0.065	-1.389	0.065	-1.403	0.065	-1.394	0.065	-1.374	0.065	-1.368	0.065	-1.351	0.065	-1.342	0.065	-1.340	0.065	-1.317	0.065	-1.313
0.064	-1.386	0.064	-1.405	0.064	-1.397	0.064	-1.380	0.064	-1.373	0.064	-1.365	0.064	-1.350	0.064	-1.337	0.064	-1.323	0.064	-1.308
0.063	-1.402	0.063	-1.420	0.063	-1.408	0.063	-1.396	0.063	-1.379	0.063	-1.374	0.063	-1.365	0.063	-1.350	0.063	-1.337	0.063	-1.323
0.062	-1.397	0.062	-1.414	0.062	-1.409	0.062	-1.392	0.062	-1.379	0.062	-1.369	0.062	-1.363	0.062	-1.342	0.062	-1.334	0.062	-1.325
0.061	-1.406	0.061	-1.423	0.061	-1.412	0.061	-1.389	0.061	-1.391	0.061	-1.371	0.061	-1.365	0.061	-1.356	0.061	-1.342	0.061	-1.333
0.060	-1.416	0.060	-1.428	0.060	-1.416	0.060	-1.406	0.060	-1.391	0.060	-1.385	0.060	-1.368	0.060	-1.362	0.060	-1.346	0.060	-1.337
0.059	-1.435	0.059	-1.445	0.059	-1.428	0.059	-1.423	0.059	-1.408	0.059	-1.396	0.059	-1.382	0.059	-1.379	0.059	-1.363	0.059	-1.348
0.058	-1.423	0.058	-1.443	0.058	-1.428	0.058	-1.414	0.058	-1.400	0.058	-1.391	0.058	-1.376	0.058	-1.369	0.058	-1.359	0.058	-1.343
0.057	-1.434	0.057	-1.448	0.057	-1.429	0.057	-1.423	0.057	-1.409	0.057	-1.389	0.057	-1.379	0.057	-1.379	0.057	-1.360	0.057	-1.346
0.056	-1.432	0.056	-1.448	0.056	-1.437	0.056	-1.425	0.056	-1.408	0.056	-1.403	0.056	-1.379	0.056	-1.374	0.056	-1.365	0.056	-1.346
0.055	-1.445	0.055	-1.455	0.055	-1.443	0.055	-1.437	0.055	-1.422	0.055	-1.403	0.055	-1.391	0.055	-1.391	0.055	-1.380	0.055	-1.365
0.054	-1.449	0.054	-1.457	0.054	-1.445	0.054	-1.429	0.054	-1.422	0.054	-1.414	0.054	-1.392	0.054	-1.386	0.054	-1.369	0.054	-1.366
0.053	-1.458	0.053	-1.462	0.053	-1.455	0.053	-1.451	0.053	-1.425	0.053	-1.420	0.053	-1.402	0.053	-1.397	0.053	-1.376	0.053	-1.363
0.052	-1.455	0.052	-1.465	0.052	-1.457	0.052	-1.442	0.052	-1.429	0.052	-1.417	0.052	-1.409	0.052	-1.396	0.052	-1.383	0.052	-1.369
0.051	-1.477	0.051	-1.488	0.051	-1.477	0.051	-1.462	0.051	-1.454	0.051	-1.437	0.051	-1.426	0.051	-1.416	0.051	-1.402	0.051	-1.385
0.050	-1.474	0.050	-1.478	0.050	-1.468	0.050	-1.457	0.050	-1.439	0.050	-1.434	0.050	-1.411	0.050	-1.406	0.050	-1.389	0.050	-1.380
0.049	-1.475	0.049	-1.480	0.049	-1.471	0.049	-1.452	0.049	-1.446	0.049	-1.439	0.049	-1.425	0.049	-1.400	0.049	-1.394	0.049	-1.382
0.048	-1.474	0.048	-1.483	0.048	-1.469	0.048	-1.460	0.048	-1.445	0.048	-1.426	0.048	-1.420	0.048	-1.409	0.048	-1.392	0.048	-1.382
0.047	-1.486	0.047	-1.488	0.047	-1.483	0.047	-1.468	0.047	-1.457	0.047	-1.432	0.047	-1.428	0.047	-1.417	0.047	-1.397	0.047	-1.386
0.046	-1.486	0.046	-1.483	0.046	-1.477	0.046	-1.462	0.046	-1.452	0.046	-1.440	0.046	-1.431	0.046	-1.420	0.046	-1.403	0.046	-1.388
0.045	-1.492	0.045	-1.494	0.045	-1.477	0.045	-1.469	0.045	-1.448	0.045	-1.446	0.045	-1.434	0.045	-1.417	0.045	-1.406	0.045	-1.400
0.044	-1.495	0.044	-1.494	0.044	-1.491	0.044	-1.472	0.044	-1.458	0.044	-1.446	0.044	-1.432	0.044	-1.429	0.044	-1.402	0.044	-1.400
0.043	-1.508	0.043	-1.514	0.043	-1.509	0.043	-1.486	0.043	-1.474	0.043	-1.460	0.043	-1.445	0.043	-1.425	0.043	-1.422	0.043	-1.408
0.042	-1.504	0.042	-1.508	0.042	-1.501	0.042	-1.478	0.042	-1.469	0.042	-1.455	0.042	-1.439	0.042	-1.428	0.042	-1.411	0.042	-1.394
0.041	-1.506	0.041	-1.508	0.041	-1.489	0.041	-1.483	0.041	-1.465	0.041	-1.452	0.041	-1.445	0.041	-1.431	0.041	-1.416	0.041	-1.408
0.040	-1.504	0.040	-1.509	0.040	-1.500	0.040	-1.478	0.040	-1.474	0.040	-1.465	0.040	-1.446	0.040	-1.439	0.040	-1.422	0.040	-1.405
0.039	-1.520	0.039	-1.523	0.039	-1.511	0.039	-1.494	0.039	-1.485	0.039	-1.471	0.039	-1.454	0.039	-1.443	0.039	-1.434	0.039	-1.419
0.038	-1.515	0.038	-1.523	0.038	-1.506	0.038	-1.491	0.038	-1.475	0.038	-1.465	0.038	-1.452	0.038	-1.439	0.038	-1.426	0.038	-1.411
0.037	-1.517	0.037	-1.524	0.037	-1.511	0.037	-1.492	0.037	-1.480	0.037	-1.471	0.037	-1.452	0.037	-1.448	0.037	-1.434	0.037	-1.428
0.036	-1.520	0.036	-1.529	0.036	-1.511	0.036	-1.497	0.036	-1.481	0.036	-1.474	0.036	-1.457	0.036	-1.448	0.036	-1.429	0.036	-1.414
0.035	-1.547	0.035	-1.541	0.035	-1.540	0.035	-1.509	0.035	-1.495	0.035	-1.497	0.035	-1.486	0.035	-1.469	0.035	-1.454	0.035	-1.425
0.034	-1.524	0.034	-1.531	0.034	-1.517	0.034	-1.500	0.034	-1.491	0.034	-1.472	0.034	-1.462	0.034	-1.448	0.034	-1.437	0.034	-1.425
0.033	-1.532	0.033	-1.531	0.033	-1.514	0.033	-1.503	0.033	-1.486	0.033	-1.465	0.033	-1.465	0.033	-1.442	0.033	-1.435	0.033	-1.426
0.032	-1.534	0.032	-1.534	0.032	-1.517	0.032	-1.503	0.032	-1.488	0.032	-1.474	0.032	-1.460	0.032	-1.443	0.032	-1.439	0.032	-1.417
0.031	-1.549	0.031	-1.535	0.031	-1.523	0.031	-1.515	0.031	-1.497	0.031	-1.488	0.031	-1.468	0.031	-1.455	0.031	-1.442	0.031	-1.426
0.030	-1.531	0.030	-1.534	0.030	-1.520	0.030	-1.506	0.030	-1.489	0.030	-1.477	0.030	-1.463	0.030	-1.454	0.030	-1.440	0.030	-1.425
0.029	-1.537	0.029	-1.531	0.029	-1.526	0.029	-1.508	0.029	-1.495	0.029	-1.477	0.029	-1.472	0.029	-1.466	0.029	-1.448	0.029	-1.428
0.028	-1.538	0.028	-1.543	0.028	-1.531	0.028	-1.509	0.028	-1.494	0.028	-1.481	0.028	-1.472	0.028	-1.458	0.028	-1.446	0.028	-1.431
