E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.100	-0.078	0.100	-1.400	0.100	-1.373	0.100	-1.360	0.100	-1.348
0.099	-0.178	0.099	-1.417	0.099	-1.394	0.099	-1.380	0.099	-1.365
0.098	-0.288	0.098	-1.428	0.098	-1.402	0.098	-1.379	0.098	-1.363
0.097	-0.416	0.097	-1.439	0.097	-1.406	0.097	-1.389	0.097	-1.376
0.096	-0.531	0.096	-1.448	0.096	-1.412	0.096	-1.396	0.096	-1.383
0.095	-0.647	0.095	-1.455	0.095	-1.420	0.095	-1.406	0.095	-1.396
0.094	-0.758	0.094	-1.465	0.094	-1.432	0.094	-1.416	0.094	-1.402
0.093	-0.846	0.093	-1.471	0.093	-1.445	0.093	-1.429	0.093	-1.414
0.092	-0.926	0.092	-1.481	0.092	-1.454	0.092	-1.432	0.092	-1.425
0.091	-1.003	0.091	-1.495	0.091	-1.468	0.091	-1.451	0.091	-1.446
0.090	-1.067	0.090	-1.497	0.090	-1.478	0.090	-1.463	0.090	-1.448
0.089	-1.126	0.089	-1.512	0.089	-1.483	0.089	-1.469	0.089	-1.458
0.088	-1.173	0.088	-1.518	0.088	-1.491	0.088	-1.483	0.088	-1.472
0.087	-1.219	0.087	-1.532	0.087	-1.504	0.087	-1.498	0.087	-1.488
0.086	-1.258	0.086	-1.537	0.086	-1.515	0.086	-1.504	0.086	-1.497
0.085	-1.294	0.085	-1.555	0.085	-1.521	0.085	-1.523	0.085	-1.501
0.084	-1.327	0.084	-1.560	0.084	-1.535	0.084	-1.527	0.084	-1.521
0.083	-1.365	0.083	-1.577	0.083	-1.558	0.083	-1.552	0.083	-1.538
0.082	-1.392	0.082	-1.584	0.082	-1.557	0.082	-1.558	0.082	-1.546
0.081	-1.419	0.081	-1.595	0.081	-1.572	0.081	-1.566	0.081	-1.549
0.080	-1.445	0.080	-1.598	0.080	-1.578	0.080	-1.575	0.080	-1.566
0.079	-1.468	0.079	-1.610	0.079	-1.590	0.079	-1.592	0.079	-1.575
0.078	-1.485	0.078	-1.616	0.078	-1.598	0.078	-1.592	0.078	-1.584
0.077	-1.504	0.077	-1.633	0.077	-1.613	0.077	-1.604	0.077	-1.600
0.076	-1.527	0.076	-1.633	0.076	-1.621	0.076	-1.610	0.076	-1.606
0.075	-1.549	0.075	-1.652	0.075	-1.635	0.075	-1.636	0.075	-1.630
0.074	-1.561	0.074	-1.662	0.074	-1.639	0.074	-1.644	0.074	-1.629
0.073	-1.583	0.073	-1.672	0.073	-1.659	0.073	-1.650	0.073	-1.642
0.072	-1.600	0.072	-1.685	0.072	-1.665	0.072	-1.662	0.072	-1.649
0.071	-1.618	0.071	-1.696	0.071	-1.681	0.071	-1.673	0.071	-1.667
0.070	-1.629	0.070	-1.708	0.070	-1.688	0.070	-1.682	0.070	-1.678
0.069	-1.646	0.069	-1.716	0.069	-1.701	0.069	-1.693	0.069	-1.684
0.068	-1.662	0.068	-1.725	0.068	-1.712	0.068	-1.708	0.068	-1.692
0.067	-1.685	0.067	-1.748	0.067	-1.741	0.067	-1.738	0.067	-1.727
0.066	-1.695	0.066	-1.758	0.066	-1.745	0.066	-1.741	0.066	-1.733
0.065	-1.713	0.065	-1.762	0.065	-1.750	0.065	-1.739	0.065	-1.733
0.064	-1.724	0.064	-1.770	0.064	-1.751	0.064	-1.748	0.064	-1.742
0.063	-1.738	0.063	-1.779	0.063	-1.770	0.063	-1.764	0.063	-1.759
0.062	-1.754	0.062	-1.782	0.062	-1.770	0.062	-1.768	0.062	-1.759
0.061	-1.758	0.061	-1.802	0.061	-1.787	0.061	-1.785	0.061	-1.773
0.060	-1.774	0.060	-1.807	0.060	-1.790	0.060	-1.791	0.060	-1.782
0.059	-1.791	0.059	-1.830	0.059	-1.811	0.059	-1.814	0.059	-1.799
0.058	-1.805	0.058	-1.836	0.058	-1.822	0.058	-1.819	0.058	-1.807
0.057	-1.814	0.057	-1.842	0.057	-1.833	0.057	-1.827	0.057	-1.817
0.056	-1.831	0.056	-1.854	0.056	-1.839	0.056	-1.833	0.056	-1.825
0.055	-1.845	0.055	-1.868	0.055	-1.854	0.055	-1.846	0.055	-1.842
0.054	-1.857	0.054	-1.882	0.054	-1.856	0.054	-1.854	0.054	-1.846
0.053	-1.873	0.053	-1.894	0.053	-1.871	0.053	-1.865	0.053	-1.856
0.052	-1.883	0.052	-1.899	0.052	-1.883	0.052	-1.876	0.052	-1.868
0.051	-1.903	0.051	-1.928	0.051	-1.906	0.051	-1.905	0.051	-1.888
0.050	-1.914	0.050	-1.922	0.050	-1.909	0.050	-1.908	0.050	-1.896
0.049	-1.926	0.049	-1.935	0.049	-1.919	0.049	-1.912	0.049	-1.900
0.048	-1.938	0.048	-1.942	0.048	-1.925	0.048	-1.920	0.048	-1.903
0.047	-1.951	0.047	-1.958	0.047	-1.940	0.047	-1.937	0.047	-1.915
0.046	-1.960	0.046	-1.968	0.046	-1.945	0.046	-1.942	0.046	-1.928
0.045	-1.974	0.045	-1.974	0.045	-1.952	0.045	-1.955	0.045	-1.942
0.044	-1.980	0.044	-1.983	0.044	-1.963	0.044	-1.958	0.044	-1.940
0.043	-2.001	0.043	-2.003	0.043	-1.981	0.043	-1.978	0.043	-1.963
0.042	-2.015	0.042	-2.009	0.042	-1.986	0.042	-1.980	0.042	-1.966
0.041	-2.026	0.041	-2.011	0.041	-2.000	0.041	-1.989	0.041	-1.977
0.040	-2.034	0.040	-2.024	0.040	-2.001	0.040	-1.992	0.040	-1.981
0.039	-2.049	0.039	-2.040	0.039	-2.021	0.039	-2.011	0.039	-1.995
0.038	-2.055	0.038	-2.047	0.038	-2.021	0.038	-2.011	0.038	-1.994
0.037	-2.069	0.037	-2.057	0.037	-2.029	0.037	-2.026	0.037	-2.007
0.036	-2.078	0.036	-2.063	0.036	-2.043	0.036	-2.032	0.036	-2.018
0.035	-2.098	0.035	-2.081	0.035	-2.067	0.035	-2.057	0.035	-2.034
0.034	-2.104	0.034	-2.084	0.034	-2.063	0.034	-2.046	0.034	-2.035
0.033	-2.115	0.033	-2.092	0.033	-2.064	0.033	-2.055	0.033	-2.040
0.032	-2.119	0.032	-2.101	0.032	-2.072	0.032	-2.055	0.032	-2.046
0.031	-2.130	0.031	-2.106	0.031	-2.080	0.031	-2.066	0.031	-2.052
0.030	-2.139	0.030	-2.110	0.030	-2.086	0.030	-2.069	0.030	-2.057
0.029	-2.150	0.029	-2.124	0.029	-2.093	0.029	-2.078	0.029	-2.067
0.028	-2.158	0.028	-2.133	0.028	-2.106	0.028	-2.087	0.028	-2.067
0.027	-2.170	0.027	-2.139	0.027	-2.116	0.027	-2.106	0.027	-2.083
0.026	-2.179	0.026	-2.144	0.026	-2.116	0.026	-2.103	0.026	-2.083
0.025	-2.181	0.025	-2.153	0.025	-2.124	0.025	-2.109	0.025	-2.087
0.024	-2.193	0.024	-2.158	0.024	-2.126	0.024	-2.107	0.024	-2.090
0.023	-2.205	0.023	-2.167	0.023	-2.132	0.023	-2.123	0.023	-2.101
0.022	-2.215	0.022	-2.170	0.022	-2.146	0.022	-2.123	0.022	-2.103
0.021	-2.222	0.021	-2.176	0.021	-2.150	0.021	-2.118	0.021	-2.109
0.020	-2.224	0.020	-2.178	0.020	-2.150	0.020	-2.132	0.020	-2.109
0.019	-2.242	0.019	-2.198	0.019	-2.167	0.019	-2.155	0.019	-2.132
0.018	-2.247	0.018	-2.201	0.018	-2.162	0.018	-2.147	0.018	-2.126
0.017	-2.256	0.017	-2.204	0.017	-2.170	0.017	-2.149	0.017	-2.123
0.016	-2.250	0.016	-2.208	0.016	-2.175	0.016	-2.152	0.016	-2.130
0.015	-2.265	0.015	-2.211	0.015	-2.179	0.015	-2.155	0.015	-2.132
0.014	-2.267	0.014	-2.218	0.014	-2.179	0.014	-2.161	0.014	-2.133
0.013	-2.274	0.013	-2.219	0.013	-2.178	0.013	-2.161	0.013	-2.135
0.012	-2.285	0.012	-2.222	0.012	-2.184	0.012	-2.162	0.012	-2.135
0.011	-2.285	0.011	-2.230	0.011	-2.192	0.011	-2.176	0.011	-2.150
0.010	-2.288	0.010	-2.227	0.010	-2.195	0.010	-2.170	0.010	-2.146
0.009	-2.299	0.009	-2.233	0.009	-2.198	0.009	-2.169	0.009	-2.144
0.008	-2.300	0.008	-2.233	0.008	-2.192	0.008	-2.169	0.008	-2.142
0.007	-2.310	0.007	-2.247	0.007	-2.207	0.007	-2.175	0.007	-2.149
0.006	-2.311	0.006	-2.239	0.006	-2.202	0.006	-2.172	0.006	-2.146
0.005	-2.313	0.005	-2.242	0.005	-2.204	0.005	-2.176	0.005	-2.146
0.004	-2.313	0.004	-2.250	0.004	-2.204	0.004	-2.169	0.004	-2.150
0.003	-2.337	0.003	-2.281	0.003	-2.241	0.003	-2.215	0.003	-2.185
0.002	-2.333	0.002	-2.265	0.002	-2.221	0.002	-2.201	0.002	-2.158
0.001	-2.337	0.001	-2.261	0.001	-2.221	0.001	-2.192	0.001	-2.153
0.000	-2.337	0.000	-2.262	0.000	-2.216	0.000	-2.181	0.000	-2.152
-0.001	-2.339	-0.001	-2.268	-0.001	-2.213	-0.001	-2.187	-0.001	-2.153
-0.002	-2.342	-0.002	-2.267	-0.002	-2.216	-0.002	-2.178	-0.002	-2.149
-0.003	-2.346	-0.003	-2.261	-0.003	-2.222	-0.003	-2.181	-0.003	-2.152
-0.004	-2.348	-0.004	-2.270	-0.004	-2.222	-0.004	-2.184	-0.004	-2.146
-0.005	-2.351	-0.005	-2.279	-0.005	-2.231	-0.005	-2.193	-0.005	-2.159
-0.006	-2.365	-0.006	-2.276	-0.006	-2.221	-0.006	-2.190	-0.006	-2.150
-0.007	-2.360	-0.007	-2.285	-0.007	-2.231	-0.007	-2.193	-0.007	-2.149
-0.008	-2.365	-0.008	-2.279	-0.008	-2.228	-0.008	-2.193	-0.008	-2.147
-0.009	-2.371	-0.009	-2.293	-0.009	-2.238	-0.009	-2.193	-0.009	-2.162
-0.010	-2.273	-0.010	-2.149	-0.010	-2.063	-0.010	-2.011	-0.010	-1.951
-0.009	-1.960	-0.009	-1.710	-0.009	-1.560	-0.009	-1.457	-0.009	-1.379
-0.008	-1.580	-0.008	-1.205	-0.008	-0.995	-0.008	-0.863	-0.008	-0.765
-0.007	-1.176	-0.007	-0.707	-0.007	-0.469	-0.007	-0.319	-0.007	-0.215
-0.006	-0.802	-0.006	-0.274	-0.006	-0.026	-0.006	0.132	-0.006	0.222
-0.005	-0.452	-0.005	0.094	-0.005	0.351	-0.005	0.494	-0.005	0.597
-0.004	-0.161	-0.004	0.388	-0.004	0.630	-0.004	0.759	-0.004	0.850
-0.003	0.100	-0.003	0.629	-0.003	0.848	-0.003	0.972	-0.003	1.045
-0.002	0.308	-0.002	0.811	-0.002	1.012	-0.002	1.120	-0.002	1.184
-0.001	0.503	-0.001	0.971	-0.001	1.150	-0.001	1.245	-0.001	1.304
0.000	0.660	0.000	1.089	0.000	1.247	0.000	1.333	0.000	1.382
0.001	0.788	0.001	1.187	0.001	1.331	0.001	1.396	0.001	1.445
0.002	0.899	0.002	1.267	0.002	1.391	0.002	1.460	0.002	1.483
0.003	1.020	0.003	1.354	0.003	1.469	0.003	1.525	0.003	1.554
0.004	1.092	0.004	1.394	0.004	1.489	0.004	1.540	0.004	1.572
0.005	1.166	0.005	1.437	0.005	1.529	0.005	1.569	0.005	1.589
0.006	1.221	0.006	1.468	0.006	1.551	0.006	1.580	0.006	1.603
0.007	1.278	0.007	1.505	0.007	1.580	0.007	1.604	0.007	1.629
0.008	1.322	0.008	1.523	0.008	1.584	0.008	1.617	0.008	1.632
0.009	1.371	0.009	1.548	0.009	1.610	0.009	1.638	0.009	1.660
0.010	1.403	0.010	1.569	0.010	1.624	0.010	1.643	0.010	1.661
0.011	1.442	0.011	1.595	0.011	1.652	0.011	1.670	0.011	1.684
0.012	1.471	0.012	1.614	0.012	1.664	0.012	1.675	0.012	1.692
0.013	1.489	0.013	1.630	0.013	1.670	0.013	1.690	0.013	1.701
0.014	1.522	0.014	1.644	0.014	1.681	0.014	1.699	0.014	1.709
0.015	1.548	0.015	1.663	0.015	1.704	0.015	1.713	0.015	1.729
0.016	1.569	0.016	1.669	0.016	1.702	0.016	1.721	0.016	1.730
0.017	1.584	0.017	1.679	0.017	1.721	0.017	1.725	0.017	1.741
0.018	1.606	0.018	1.689	0.018	1.719	0.018	1.730	0.018	1.741
0.019	1.627	0.019	1.718	0.019	1.745	0.019	1.758	0.019	1.764
0.020	1.643	0.020	1.722	0.020	1.752	0.020	1.762	0.020	1.764
0.021	1.663	0.021	1.730	0.021	1.759	0.021	1.767	0.021	1.764
0.022	1.667	0.022	1.733	0.022	1.753	0.022	1.764	0.022	1.762
0.023	1.686	0.023	1.742	0.023	1.768	0.023	1.782	0.023	1.776
0.024	1.689	0.024	1.745	0.024	1.773	0.024	1.781	0.024	1.775
0.025	1.710	0.025	1.755	0.025	1.775	0.025	1.781	0.025	1.782
0.026	1.713	0.026	1.761	0.026	1.776	0.026	1.784	0.026	1.781
0.027	1.732	0.027	1.768	0.027	1.795	0.027	1.795	0.027	1.802
0.028	1.732	0.028	1.773	0.028	1.793	0.028	1.795	0.028	1.793
0.029	1.742	0.029	1.778	0.029	1.795	0.029	1.801	0.029	1.801
0.030	1.753	0.030	1.782	0.030	1.796	0.030	1.798	0.030	1.791
0.031	1.761	0.031	1.791	0.031	1.802	0.031	1.804	0.031	1.802
0.032	1.764	0.032	1.785	0.032	1.804	0.032	1.799	0.032	1.807
0.033	1.772	0.033	1.793	0.033	1.801	0.033	1.808	0.033	1.810
0.034	1.770	0.034	1.790	0.034	1.801	0.034	1.802	0.034	1.802
0.035	1.787	0.035	1.807	0.035	1.822	0.035	1.818	0.035	1.811
0.036	1.781	0.036	1.805	0.036	1.811	0.036	1.810	0.036	1.810
0.037	1.788	0.037	1.805	0.037	1.813	0.037	1.808	0.037	1.808
0.038	1.788	0.038	1.802	0.038	1.807	0.038	1.807	0.038	1.799
0.039	1.796	0.039	1.801	0.039	1.808	0.039	1.813	0.039	1.810
0.040	1.798	0.040	1.798	0.040	1.805	0.040	1.804	0.040	1.796
0.041	1.795	0.041	1.804	0.041	1.804	0.041	1.808	0.041	1.798
0.042	1.798	0.042	1.799	0.042	1.798	0.042	1.798	0.042	1.801
0.043	1.804	0.043	1.804	0.043	1.808	0.043	1.799	0.043	1.801
0.044	1.798	0.044	1.796	0.044	1.801	0.044	1.796	0.044	1.785
0.045	1.801	0.045	1.804	0.045	1.801	0.045	1.796	0.045	1.802
0.046	1.804	0.046	1.793	0.046	1.799	0.046	1.785	0.046	1.776
0.047	1.801	0.047	1.799	0.047	1.798	0.047	1.785	0.047	1.790
0.048	1.796	0.048	1.795	0.048	1.788	0.048	1.775	0.048	1.776
0.049	1.795	0.049	1.787	0.049	1.782	0.049	1.775	0.049	1.776
0.050	1.799	0.050	1.778	0.050	1.772	0.050	1.770	0.050	1.765
0.051	1.801	0.051	1.791	0.051	1.787	0.051	1.781	0.051	1.775
0.052	1.798	0.052	1.787	0.052	1.773	0.052	1.770	0.052	1.764
0.053	1.802	0.053	1.779	0.053	1.770	0.053	1.764	0.053	1.761
0.054	1.790	0.054	1.768	0.054	1.759	0.054	1.752	0.054	1.742
0.055	1.788	0.055	1.765	0.055	1.756	0.055	1.747	0.055	1.742
0.056	1.785	0.056	1.756	0.056	1.742	0.056	1.735	0.056	1.735
0.057	1.784	0.057	1.753	0.057	1.738	0.057	1.732	0.057	1.719
0.058	1.776	0.058	1.744	0.058	1.725	0.058	1.712	0.058	1.710
0.059	1.779	0.059	1.747	0.059	1.739	0.059	1.722	0.059	1.722
0.060	1.773	0.060	1.738	0.060	1.721	0.060	1.706	0.060	1.710
0.061	1.772	0.061	1.735	0.061	1.713	0.061	1.704	0.061	1.702
0.062	1.761	0.062	1.718	0.062	1.704	0.062	1.698	0.062	1.684
0.063	1.762	0.063	1.722	0.063	1.701	0.063	1.684	0.063	1.683
0.064	1.755	0.064	1.707	0.064	1.690	0.064	1.670	0.064	1.669
