E /V	I /uA	E /V	I /uA
0.100	-0.138	0.100	-0.560
0.100	-0.241	0.100	-0.555
0.099	-0.365	0.099	-0.580
0.099	-0.406	0.099	-0.557
0.098	-0.465	0.098	-0.564
0.098	-0.489	0.098	-0.569
0.097	-0.521	0.097	-0.575
0.097	-0.534	0.097	-0.569
0.096	-0.546	0.096	-0.581
0.096	-0.547	0.096	-0.570
0.095	-0.555	0.095	-0.590
0.095	-0.560	0.095	-0.578
0.094	-0.572	0.094	-0.589
0.093	-0.569	0.093	-0.587
0.093	-0.577	0.093	-0.598
0.092	-0.581	0.092	-0.586
0.092	-0.578	0.092	-0.597
0.091	-0.575	0.091	-0.598
0.091	-0.597	0.091	-0.615
0.090	-0.589	0.090	-0.603
0.090	-0.600	0.090	-0.607
0.089	-0.598	0.089	-0.607
0.089	-0.603	0.089	-0.610
0.088	-0.587	0.088	-0.610
0.088	-0.606	0.088	-0.621
0.087	-0.604	0.087	-0.612
0.087	-0.613	0.087	-0.626
0.086	-0.607	0.086	-0.613
0.086	-0.616	0.086	-0.627
0.086	-0.620	0.086	-0.620
0.085	-0.629	0.085	-0.639
0.085	-0.621	0.085	-0.629
0.084	-0.623	0.084	-0.635
0.084	-0.629	0.084	-0.633
0.083	-0.647	0.083	-0.659
0.083	-0.633	0.083	-0.644
0.082	-0.633	0.082	-0.639
0.082	-0.641	0.082	-0.647
0.081	-0.647	0.081	-0.653
0.081	-0.639	0.081	-0.650
0.080	-0.644	0.080	-0.655
0.080	-0.649	0.080	-0.659
0.079	-0.662	0.079	-0.672
0.079	-0.656	0.079	-0.667
0.078	-0.659	0.078	-0.666
0.077	-0.662	0.077	-0.662
0.077	-0.669	0.077	-0.669
0.076	-0.661	0.076	-0.672
0.076	-0.666	0.076	-0.673
0.075	-0.670	0.075	-0.675
0.075	-0.685	0.075	-0.692
0.074	-0.678	0.074	-0.685
0.074	-0.675	0.074	-0.698
0.073	-0.684	0.073	-0.676
0.073	-0.678	0.073	-0.693
0.072	-0.684	0.072	-0.693
0.072	-0.692	0.072	-0.702
0.071	-0.689	0.071	-0.693
0.071	-0.701	0.071	-0.705
0.070	-0.698	0.070	-0.696
0.070	-0.701	0.070	-0.710
0.070	-0.708	0.070	-0.701
0.069	-0.708	0.069	-0.715
0.069	-0.705	0.069	-0.707
0.068	-0.713	0.068	-0.713
0.068	-0.710	0.068	-0.705
0.067	-0.738	0.067	-0.747
0.067	-0.733	0.067	-0.730
0.066	-0.727	0.066	-0.728
0.066	-0.722	0.066	-0.728
0.065	-0.728	0.065	-0.733
0.065	-0.725	0.065	-0.731
0.064	-0.736	0.064	-0.744
0.064	-0.733	0.064	-0.727
0.063	-0.742	0.063	-0.741
0.063	-0.731	0.063	-0.733
0.062	-0.731	0.062	-0.731
0.061	-0.736	0.061	-0.747
0.061	-0.750	0.061	-0.745
0.060	-0.741	0.060	-0.747
0.060	-0.745	0.060	-0.750
0.059	-0.745	0.059	-0.748
0.059	-0.771	0.059	-0.765
0.059	-0.758	0.059	-0.762
0.058	-0.758	0.058	-0.761
0.058	-0.762	0.058	-0.758
0.057	-0.771	0.057	-0.765
0.057	-0.767	0.057	-0.761
0.056	-0.768	0.056	-0.764
0.056	-0.762	0.056	-0.759
0.055	-0.777	0.055	-0.782
0.054	-0.767	0.054	-0.774
0.054	-0.774	0.054	-0.776
0.053	-0.774	0.053	-0.773
0.053	-0.784	0.053	-0.776
0.052	-0.787	0.052	-0.779
0.052	-0.782	0.052	-0.790
0.051	-0.781	0.051	-0.787
0.051	-0.804	0.051	-0.805
0.051	-0.805	0.051	-0.799
0.050	-0.802	0.050	-0.796
0.050	-0.799	0.050	-0.791
0.049	-0.807	0.049	-0.799
0.049	-0.800	0.049	-0.794
0.048	-0.796	0.048	-0.797
0.048	-0.805	0.048	-0.797
0.047	-0.817	0.047	-0.807
0.046	-0.794	0.046	-0.800
0.046	-0.811	0.046	-0.807
0.045	-0.810	0.045	-0.802
0.045	-0.825	0.045	-0.819
0.044	-0.819	0.044	-0.814
0.044	-0.823	0.044	-0.817
0.043	-0.816	0.043	-0.813
0.043	-0.840	0.043	-0.830
0.043	-0.817	0.043	-0.811
0.042	-0.828	0.042	-0.810
0.042	-0.822	0.042	-0.823
0.041	-0.840	0.041	-0.825
0.041	-0.827	0.041	-0.823
0.040	-0.845	0.040	-0.823
0.040	-0.831	0.040	-0.825
0.039	-0.846	0.039	-0.839
0.038	-0.837	0.038	-0.828
0.038	-0.842	0.038	-0.836
0.037	-0.845	0.037	-0.827
0.037	-0.850	0.037	-0.840
0.036	-0.840	0.036	-0.834
0.036	-0.850	0.036	-0.843
0.035	-0.850	0.035	-0.839
0.035	-0.876	0.035	-0.866
0.035	-0.856	0.035	-0.845
0.034	-0.854	0.034	-0.839
0.034	-0.846	0.034	-0.842
0.033	-0.860	0.033	-0.846
0.033	-0.857	0.033	-0.843
0.032	-0.868	0.032	-0.854
0.032	-0.859	0.032	-0.845
0.031	-0.870	0.031	-0.862
0.030	-0.870	0.030	-0.853
0.030	-0.868	0.030	-0.856
0.029	-0.866	0.029	-0.853
0.029	-0.876	0.029	-0.866
0.029	-0.868	0.029	-0.853
0.028	-0.873	0.028	-0.859
0.028	-0.868	0.028	-0.854
0.027	-0.893	0.027	-0.877
0.026	-0.880	0.026	-0.870
0.026	-0.876	0.026	-0.866
0.025	-0.877	0.025	-0.862
0.025	-0.891	0.025	-0.853
0.025	-0.879	0.025	-0.863
0.024	-0.882	0.024	-0.873
0.024	-0.888	0.024	-0.865
0.023	-0.896	0.023	-0.882
0.022	-0.874	0.022	-0.866
0.022	-0.873	0.022	-0.866
0.021	-0.885	0.021	-0.870
0.021	-0.896	0.021	-0.882
0.021	-0.893	0.021	-0.873
0.020	-0.894	0.020	-0.879
0.020	-0.889	0.020	-0.871
0.019	-0.912	0.019	-0.899
0.018	-0.899	0.018	-0.880
0.018	-0.899	0.018	-0.882
0.018	-0.894	0.018	-0.885
0.017	-0.903	0.017	-0.883
0.017	-0.896	0.017	-0.880
0.016	-0.906	0.016	-0.880
0.015	-0.896	0.015	-0.876
0.015	-0.916	0.015	-0.889
0.015	-0.896	0.015	-0.874
0.014	-0.909	0.014	-0.885
0.013	-0.906	0.013	-0.883
0.013	-0.902	0.013	-0.893
0.013	-0.902	0.013	-0.880
0.012	-0.900	0.012	-0.891
0.011	-0.906	0.011	-0.880
0.011	-0.926	0.011	-0.905
0.011	-0.899	0.011	-0.894
0.010	-0.900	0.010	-0.899
0.009	-0.906	0.009	-0.888
0.009	-0.920	0.009	-0.871
0.009	-0.896	0.009	-0.886
0.008	-0.909	0.008	-0.903
0.007	-0.906	0.007	-0.885
0.007	-0.922	0.007	-0.905
0.006	-0.906	0.006	-0.889
0.006	-0.912	0.006	-0.897
0.005	-0.916	0.005	-0.894
0.005	-0.928	0.005	-0.902
0.004	-0.908	0.004	-0.885
0.004	-0.920	0.004	-0.900
0.004	-0.920	0.004	-0.899
0.003	-0.963	0.003	-0.946
0.003	-0.939	0.003	-0.914
0.002	-0.920	0.002	-0.897
0.002	-0.922	0.002	-0.899
0.001	-0.925	0.001	-0.893
0.001	-0.914	0.001	-0.897
0.000	-0.925	0.000	-0.911
-0.001	-0.917	-0.001	-0.894
-0.001	-0.932	-0.001	-0.903
-0.002	-0.916	-0.002	-0.897
-0.002	-0.922	-0.002	-0.906
-0.003	-0.928	-0.003	-0.906
-0.003	-0.943	-0.003	-0.906
-0.004	-0.929	-0.004	-0.903
-0.004	-0.931	-0.004	-0.905
-0.004	-0.934	-0.004	-0.905
-0.005	-0.952	-0.005	-0.922
-0.005	-0.939	-0.005	-0.903
-0.006	-0.940	-0.006	-0.902
-0.006	-0.937	-0.006	-0.905
-0.007	-0.940	-0.007	-0.916
-0.007	-0.942	-0.007	-0.912
-0.008	-0.943	-0.008	-0.912
-0.009	-0.935	-0.009	-0.911
-0.009	-0.962	-0.009	-0.935
-0.009	-0.940	-0.009	-0.914
-0.010	-0.842	-0.010	-0.802
-0.009	-0.552	-0.009	-0.503
-0.009	-0.239	-0.009	-0.176
-0.009	-0.018	-0.009	-0.001
-0.008	0.153	-0.008	0.170
-0.007	0.267	-0.007	0.276
-0.007	0.351	-0.007	0.351
-0.006	0.399	-0.006	0.396
-0.006	0.442	-0.006	0.434
-0.005	0.466	-0.005	0.445
-0.005	0.495	-0.005	0.494
-0.004	0.495	-0.004	0.497
-0.004	0.517	-0.004	0.503
-0.004	0.508	-0.004	0.512
-0.003	0.526	-0.003	0.534
-0.003	0.517	-0.003	0.520
-0.002	0.540	-0.002	0.541
-0.002	0.540	-0.002	0.538
-0.001	0.554	-0.001	0.558
-0.001	0.549	-0.001	0.551
0.000	0.564	0.000	0.566
0.001	0.561	0.001	0.566
0.001	0.569	0.001	0.568
0.002	0.574	0.002	0.566
0.002	0.571	0.002	0.574
0.003	0.577	0.003	0.583
0.003	0.598	0.003	0.609
0.004	0.591	0.004	0.594
0.004	0.592	0.004	0.591
0.004	0.591	0.004	0.581
0.005	0.601	0.005	0.595
0.005	0.587	0.005	0.592
0.006	0.597	0.006	0.597
0.006	0.595	0.006	0.592
0.007	0.609	0.007	0.603
0.007	0.606	0.007	0.607
0.008	0.615	0.008	0.607
0.009	0.611	0.009	0.611
0.009	0.617	0.009	0.620
0.009	0.621	0.009	0.607
0.010	0.618	0.010	0.612
0.011	0.623	0.011	0.614
0.011	0.638	0.011	0.632
0.011	0.632	0.011	0.629
0.012	0.634	0.012	0.626
0.013	0.630	0.013	0.624
0.013	0.649	0.013	0.640
0.013	0.643	0.013	0.630
0.014	0.641	0.014	0.629
0.015	0.643	0.015	0.618
0.015	0.658	0.015	0.650
0.015	0.649	0.015	0.640
0.016	0.650	0.016	0.635
0.017	0.644	0.017	0.638
0.017	0.652	0.017	0.638
0.018	0.655	0.018	0.650
0.018	0.667	0.018	0.653
0.018	0.647	0.018	0.640
0.019	0.680	0.019	0.667
0.020	0.664	0.020	0.652
0.020	0.676	0.020	0.653
0.021	0.666	0.021	0.650
0.021	0.669	0.021	0.663
