Date: 01-03-22
Time: 20:13:53

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .1000
First vertex potential (V) = .0000
Second vertex potential (V) = .6000
Step potential (V) = .00030
Scan rate (V/s) = .05000
Equilibration time (s) = 
Number of Data Points =  3932 

 Potential	  Scan 1   	  Scan 2   	  Scan 3   	
 0.099792	-1.108630E-06	-1.922607E-06	-1.911621E-06
 0.099487	-1.727710E-06	-1.974243E-06	-1.973145E-06
 0.099182	-1.863501E-06	-1.950073E-06	-1.943482E-06
 0.098877	-1.972156E-06	-2.046753E-06	-2.034668E-06
 0.098572	-1.905908E-06	-1.930298E-06	-1.943482E-06
 0.098267	-1.961169E-06	-2.002808E-06	-1.999512E-06
 0.097961	-1.922607E-06	-1.987427E-06	-1.986328E-06
 0.097656	-2.009619E-06	-2.078613E-06	-2.061035E-06
 0.097351	-1.816589E-06	-1.852295E-06	-1.830322E-06
 0.097046	-1.889429E-06	-1.962158E-06	-1.942383E-06
 0.096741	-1.878772E-06	-1.944580E-06	-1.931397E-06
 0.096436	-1.979077E-06	-2.001709E-06	-2.005005E-06
 0.096130	-1.875806E-06	-1.941284E-06	-1.921509E-06
 0.095825	-1.945459E-06	-2.008301E-06	-1.991821E-06
 0.095520	-1.942383E-06	-1.958862E-06	-1.955566E-06
 0.095215	-2.013574E-06	-2.048950E-06	-2.030274E-06
 0.094910	-1.876685E-06	-1.930298E-06	-1.940186E-06
 0.094604	-1.951392E-06	-1.996216E-06	-1.999512E-06
 0.094299	-1.930408E-06	-1.956665E-06	-1.935791E-06
 0.093994	-2.003357E-06	-2.056641E-06	-2.033569E-06
 0.093689	-1.905908E-06	-1.951172E-06	-1.957764E-06
 0.093384	-1.987427E-06	-2.010498E-06	-2.015991E-06
 0.093079	-1.948865E-06	-2.002808E-06	-1.977539E-06
 0.092773	-2.041260E-06	-2.086304E-06	-2.079712E-06
 0.092468	-1.924036E-06	-1.948975E-06	-1.935791E-06
 0.092163	-1.973584E-06	-1.990723E-06	-1.986328E-06
 0.091858	-1.915906E-06	-1.976440E-06	-1.974243E-06
 0.091553	-2.023462E-06	-2.051148E-06	-2.048950E-06
 0.091248	-1.930408E-06	-1.966553E-06	-1.940186E-06
 0.090942	-1.992261E-06	-2.037964E-06	-2.018189E-06
 0.090637	-1.974463E-06	-1.995117E-06	-1.994019E-06
 0.090332	-2.059937E-06	-2.089600E-06	-2.079712E-06
 0.090027	-1.917004E-06	-1.964356E-06	-1.958862E-06
 0.089722	-1.990173E-06	-2.036865E-06	-2.018189E-06
 0.089417	-1.983582E-06	-1.981934E-06	-1.974243E-06
 0.089111	-2.051367E-06	-2.091797E-06	-2.065430E-06
 0.088806	-1.956336E-06	-1.989624E-06	-1.990723E-06
 0.088501	-2.032361E-06	-2.073120E-06	-2.056641E-06
