E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,electrode
0.1,-0.311,0.1,-2.104,0.1,-2.135,0.1,-2.156,Pt111
0.099,-0.481,0.099,-2.11,0.099,-2.132,0.099,-2.162,Pt111
0.098,-0.656,0.098,-2.103,0.098,-2.129,0.098,-2.15,Pt111
0.097,-0.837,0.097,-2.103,0.097,-2.127,0.097,-2.147,Pt111
0.096,-0.998,0.096,-2.098,0.096,-2.124,0.096,-2.138,Pt111
0.095,-1.132,0.095,-2.101,0.095,-2.13,0.095,-2.133,Pt111
0.094,-1.244,0.094,-2.093,0.094,-2.126,0.094,-2.136,Pt111
0.093,-1.343,0.093,-2.092,0.093,-2.124,0.093,-2.144,Pt111
0.092,-1.414,0.092,-2.087,0.092,-2.115,0.092,-2.13,Pt111
0.091,-1.477,0.091,-2.095,0.091,-2.116,0.091,-2.135,Pt111
0.09,-1.529,0.09,-2.089,0.09,-2.116,0.09,-2.123,Pt111
0.089,-1.561,0.089,-2.083,0.089,-2.11,0.089,-2.118,Pt111
0.088,-1.592,0.088,-2.08,0.088,-2.104,0.088,-2.118,Pt111
0.087,-1.621,0.087,-2.084,0.087,-2.106,0.087,-2.116,Pt111
0.086,-1.639,0.086,-2.077,0.086,-2.104,0.086,-2.116,Pt111
0.085,-1.655,0.085,-2.078,0.085,-2.098,0.085,-2.115,Pt111
0.084,-1.664,0.084,-2.075,0.084,-2.095,0.084,-2.104,Pt111
0.083,-1.692,0.083,-2.086,0.083,-2.104,0.083,-2.119,Pt111
0.082,-1.69,0.082,-2.078,0.082,-2.095,0.082,-2.107,Pt111
0.081,-1.696,0.081,-2.078,0.081,-2.096,0.081,-2.101,Pt111
0.08,-1.702,0.08,-2.066,0.08,-2.083,0.08,-2.098,Pt111
0.079,-1.715,0.079,-2.069,0.079,-2.084,0.079,-2.098,Pt111
0.078,-1.712,0.078,-2.064,0.078,-2.08,0.078,-2.092,Pt111
0.077,-1.718,0.077,-2.067,0.077,-2.077,0.077,-2.09,Pt111
